call_id,cohort,shape_label,labeled_at_index
131211_1800_m2fm3_chunk_019__det0,m2fm3,Flat,61
131211_1800_m2fm3_chunk_059__det1,m2fm3,Noise,62
131211_1800_m2fm3_chunk_089__det4,m2fm3,Noise,63
131211_1800_m2fm3_chunk_099__det0,m2fm3,Noise,64
131211_1800_m2fm3_chunk_137__det0,m2fm3,Noise,65
131212_1000_m2fm3_chunk_010__det0,m2fm3,Down-FM,66
131212_1000_m2fm3_chunk_028__det0,m2fm3,Two steps,67
131212_1000_m2fm3_chunk_037__det2,m2fm3,Down-FM,68
131212_1000_m2fm3_chunk_068__det9,m2fm3,Step up,69
131212_1000_m2fm3_chunk_071__det12,m2fm3,Flat,70
131212_1000_m2fm3_chunk_170__det2,m2fm3,Complex,71
131210_1000_m2fm4_chunk_017__det6,m2fm4,Step down,72
131210_1000_m2fm4_chunk_029__det5,m2fm4,Multi-steps,73
131210_1000_m2fm4_chunk_042__det4,m2fm4,Multi-steps,74
131210_1000_m2fm4_chunk_043__det10,m2fm4,Multi-steps,75
131210_1000_m2fm4_chunk_096__det3,m2fm4,Down-FM,76
131217_1400_m2fm4_chunk_009__det4,m2fm4,Multi-steps,77
131217_1400_m2fm4_chunk_039__det0,m2fm4,Multi-steps,78
131217_1400_m2fm4_chunk_097__det1,m2fm4,Multi-steps,79
131217_1400_m2fm4_chunk_101__det1,m2fm4,Multi-steps,80
131217_1400_m2fm4_chunk_150__det0,m2fm4,Noise,81
131217_1400_m2fm4_chunk_198__det1,m2fm4,Chevron,82
131217_1400_m2fm4_chunk_251__det1,m2fm4,Step up,83
131211_1000_m3fm1_chunk_019__det8,m3fm1,Multi-steps,84
131211_1000_m3fm1_chunk_025__det4,m3fm1,Multi-steps,85
131211_1000_m3fm1_chunk_070__det1,m3fm1,Step down,86
131211_1000_m3fm1_chunk_090__det2,m3fm1,Step up,87
131211_1000_m3fm1_chunk_092__det4,m3fm1,Down-FM,88
131211_1000_m3fm1_chunk_114__det2,m3fm1,unclear,89
131211_1000_m3fm1_chunk_117__det3,m3fm1,Up-FM,90
131211_1800_m3fm1_chunk_014__det0,m3fm1,Step down,91
131211_1800_m3fm1_chunk_030__det9,m3fm1,Step up,92
131211_1800_m3fm1_chunk_155__det5,m3fm1,Flat,93
131211_1800_m3fm1_chunk_248__det2,m3fm1,Step down,94
131211_1800_m3fm1_chunk_249__det1,m3fm1,Flat,95
131210_1000_m3fm2_chunk_015__det3,m3fm2,Flat,96
131210_1000_m3fm2_chunk_029__det10,m3fm2,Down-FM,97
131210_1000_m3fm2_chunk_030__det0,m3fm2,Up-FM,98
131210_1000_m3fm2_chunk_063__det5,m3fm2,Complex,99
131210_1000_m3fm2_chunk_073__det1,m3fm2,Two steps,100
131217_1400_m3fm2_chunk_010__det1,m3fm2,Multi-steps,101
131217_1400_m3fm2_chunk_011__det0,m3fm2,Multi-steps,102
131217_1400_m3fm2_chunk_021__det3,m3fm2,Down-FM,103
131217_1400_m3fm2_chunk_077__det2,m3fm2,Down-FM,104
131217_1400_m3fm2_chunk_132__det1,m3fm2,Complex,105
131217_1400_m3fm2_chunk_239__det7,m3fm2,Down-FM,106
131217_1400_m3fm2_chunk_290__det8,m3fm2,Step up,107
131204_1400_m3fm3_chunk_039__det1,m3fm3,Down-FM,108
131204_1400_m3fm3_chunk_051__det7,m3fm3,Reverse Chevron,109
131204_1400_m3fm3_chunk_074__det5,m3fm3,Step up,110
131204_1400_m3fm3_chunk_126__det6,m3fm3,Multi-steps,111
131204_1400_m3fm3_chunk_243__det10,m3fm3,Down-FM,112
131204_1400_m3fm3_chunk_281__det2,m3fm3,Multi-steps,113
131205_1000_m3fm3_chunk_026__det11,m3fm3,Step up,114
131205_1000_m3fm3_chunk_042__det6,m3fm3,Reverse Chevron,115
131205_1800_m3fm3_chunk_015__det8,m3fm3,Flat,116
131208_1000_m3fm3_chunk_038__det0,m3fm3,Flat,117
131208_1000_m3fm3_chunk_085__det1,m3fm3,Flat,118
131208_1000_m3fm3_chunk_278__det5,m3fm3,Step up,119
131212_1000_m3fm4_chunk_014__det3,m3fm4,Multi-steps,120
131212_1000_m3fm4_chunk_016__det5,m3fm4,Down-FM,121
131212_1000_m3fm4_chunk_053__det12,m3fm4,Multi-steps,122
131212_1000_m3fm4_chunk_097__det6,m3fm4,Multi-steps,123
131212_1000_m3fm4_chunk_127__det4,m3fm4,Step down,124
131212_1000_m3fm4_chunk_131__det7,m3fm4,Multi-steps,125
131212_1000_m3fm4_chunk_152__det3,m3fm4,Complex,126
131212_1000_m3fm4_chunk_157__det1,m3fm4,Up-FM,127
131212_1000_m3fm4_chunk_211__det3,m3fm4,Chevron,128
131212_1000_m3fm4_chunk_255__det5,m3fm4,Flat,129
131212_1000_m3fm4_chunk_287__det0,m3fm4,Noise,130
131212_1000_m3fm4_chunk_299__det1,m3fm4,Noise,131
131210_1000_m4fm1_chunk_017__det16,m4fm1,Flat,132
131210_1000_m4fm1_chunk_022__det6,m4fm1,Reverse Chevron,133
131210_1000_m4fm1_chunk_023__det6,m4fm1,Reverse Chevron,134
131210_1000_m4fm1_chunk_031__det1,m4fm1,Multi-steps,135
131210_1000_m4fm1_chunk_034__det1,m4fm1,Down-FM,136
131210_1000_m4fm1_chunk_039__det14,m4fm1,Flat,137
131210_1000_m4fm1_chunk_054__det4,m4fm1,Flat,138
131210_1000_m4fm1_chunk_062__det1,m4fm1,Reverse Chevron,139
131210_1000_m4fm1_chunk_063__det4,m4fm1,Step up,140
131210_1000_m4fm1_chunk_065__det6,m4fm1,Multi-steps,141
131210_1000_m4fm1_chunk_100__det1,m4fm1,Multi-steps,142
131210_1000_m4fm1_chunk_109__det0,m4fm1,Multi-steps,143
131211_1000_m4fm2_chunk_003__det5,m4fm2,Flat,144
131211_1000_m4fm2_chunk_018__det12,m4fm2,Reverse Chevron,145
131211_1000_m4fm2_chunk_068__det12,m4fm2,Flat,146
131211_1000_m4fm2_chunk_075__det14,m4fm2,Reverse Chevron,147
131211_1000_m4fm2_chunk_076__det5,m4fm2,Step up,148
131211_1000_m4fm2_chunk_088__det2,m4fm2,Step down,149
131211_1000_m4fm2_chunk_200__det1,m4fm2,Short,150
131211_1800_m4fm2_chunk_073__det5,m4fm2,Complex,151
131211_1800_m4fm2_chunk_074__det5,m4fm2,Step down,152
131211_1800_m4fm2_chunk_280__det0,m4fm2,Noise,153
131211_1800_m4fm2_chunk_309__det4,m4fm2,Noise,154
131211_1800_m4fm2_chunk_314__det2,m4fm2,Noise,155
131212_1000_m4fm3_chunk_030__det3,m4fm3,Reverse Chevron,156
131212_1000_m4fm3_chunk_034__det3,m4fm3,Step up,157
131212_1000_m4fm3_chunk_035__det4,m4fm3,Reverse Chevron,158
131212_1000_m4fm3_chunk_092__det6,m4fm3,Reverse Chevron,159
131212_1000_m4fm3_chunk_110__det3,m4fm3,Reverse Chevron,160
131212_1000_m4fm3_chunk_115__det3,m4fm3,Step up,161
131212_1000_m4fm3_chunk_126__det2,m4fm3,Complex,162
131212_1000_m4fm3_chunk_172__det2,m4fm3,Noise,163
131212_1000_m4fm3_chunk_173__det0,m4fm3,Noise,164
131212_1000_m4fm3_chunk_307__det1,m4fm3,Noise,165
131217_1400_m4fm3_chunk_050__det0,m4fm3,Complex,166
131217_1400_m4fm3_chunk_061__det2,m4fm3,Down-FM,167
131204_1400_m4fm4_chunk_087__det0,m4fm4,Flat,168
131204_1400_m4fm4_chunk_264__det0,m4fm4,Noise,169
131204_1400_m4fm4_chunk_298__det1,m4fm4,Two steps,170
131204_1800_m4fm4_chunk_075__det4,m4fm4,Reverse Chevron,171
131205_1800_m4fm4_chunk_203__det3,m4fm4,Flat,172
131208_1000_m4fm4_chunk_018__det4,m4fm4,Step up,173
131208_1000_m4fm4_chunk_020__det1,m4fm4,Step up,174
131208_1000_m4fm4_chunk_023__det0,m4fm4,Multi-steps,175
131208_1000_m4fm4_chunk_027__det2,m4fm4,Down-FM,176
131208_1000_m4fm4_chunk_235__det0,m4fm4,Up-FM,177
131208_1000_m4fm4_chunk_239__det1,m4fm4,Chevron,178
131208_1400_m4fm4_chunk_224__det7,m4fm4,Flat,179
131204_1400_m5fm5_chunk_114__det0,m5fm5,Two steps,180
131204_1800_m5fm5_chunk_048__det8,m5fm5,Reverse Chevron,181
131205_1000_m5fm5_chunk_124__det3,m5fm5,Step up,182
131205_1800_m5fm5_chunk_019__det1,m5fm5,Down-FM,183
131208_1000_m5fm5_chunk_133__det2,m5fm5,Multi-steps,184
131208_1400_m5fm5_chunk_012__det9,m5fm5,Step up,185
131208_1400_m5fm5_chunk_176__det4,m5fm5,Down-FM,186
131210_1000_m5fm5_chunk_103__det0,m5fm5,Step up,187
131211_1000_m5fm5_chunk_033__det5,m5fm5,Chevron,188
131211_1800_m5fm5_chunk_239__det2,m5fm5,Reverse Chevron,189
131212_1000_m5fm5_chunk_010__det0,m5fm5,Down-FM,190
131217_1400_m5fm5_chunk_174__det2,m5fm5,Complex,191
131204_1800_m6fm6_chunk_140__det1,m6fm6,Noise,192
131205_1000_m6fm6_chunk_071__det4,m6fm6,Flat,193
131205_1000_m6fm6_chunk_082__det1,m6fm6,Multi-steps,194
131205_1000_m6fm6_chunk_299__det1,m6fm6,Step up,195
131205_1400_m6fm6_chunk_021__det7,m6fm6,Down-FM,196
131205_1400_m6fm6_chunk_293__det2,m6fm6,Flat,197
131205_1400_m6fm6_chunk_298__det7,m6fm6,Complex,198
131205_1400_m6fm6_chunk_300__det8,m6fm6,Reverse Chevron,199
131205_1800_m6fm6_chunk_011__det9,m6fm6,Down-FM,200
131208_1000_m6fm6_chunk_108__det6,m6fm6,Step up,201
131210_1000_m6fm6_chunk_091__det9,m6fm6,Flat,202
131210_1000_m6fm6_chunk_240__det13,m6fm6,Reverse Chevron,203
