stem,suffix,detection_idx,label,start_time_s,end_time_s,duration_s,max_probability,mean_probability,window_count,start_window,end_window,source,png_path
2024-09-30_17-03-56_0001628,1628,6,noise,1.545386666666667,1.56672,0.0213333333333332,0.6434508562088013,0.5970856299002966,6,357,362,,
2024-09-30_17-03-56_0001628,1628,7,noise,2.37312,2.41152,0.0383999999999997,0.6431408524513245,0.5866858899593353,10,551,560,,
2024-09-30_17-11-57_0001700,1700,0,noise,0.9736533333333334,1.0077866666666666,0.0341333333333332,0.7883192896842957,0.6278150180975596,9,223,231,,
2024-09-30_17-11-57_0001700,1700,1,noise,1.6392533333333332,1.6989866666666666,0.0597333333333334,0.8917335271835327,0.7721603512763977,15,379,393,,
2024-09-30_17-11-57_0001700,1700,2,noise,2.56512,2.5949866666666668,0.0298666666666669,0.6743386387825012,0.6014200821518898,8,596,603,,
2024-09-30_17-11-57_0001700,1700,3,noise,2.6333866666666665,2.64192,0.0085333333333332,0.6119667887687683,0.5740261276563009,3,612,614,,
2024-09-30_17-11-57_0001700,1700,4,noise,3.4141866666666667,3.456853333333333,0.0426666666666664,0.8623548746109009,0.744848755272952,11,795,805,,
2024-09-30_17-32-22_0001845,1845,0,noise,0.9992533333333332,1.033386666666667,0.0341333333333333,0.6290050148963928,0.5775375697347853,9,229,237,,
2024-09-30_17-32-22_0001845,1845,1,noise,1.08032,1.11872,0.0383999999999999,0.7015419602394104,0.616836816072464,10,248,257,,
2024-09-30_17-32-22_0001845,1845,2,noise,1.20832,1.24672,0.0383999999999999,0.7021858096122742,0.6194091141223907,10,278,287,,
2024-09-30_17-32-22_0001845,1845,3,noise,1.33632,1.41312,0.0767999999999999,0.701574981212616,0.6221621067900407,19,308,326,,
2024-09-30_17-32-22_0001845,1845,4,noise,2.44992,2.48832,0.0383999999999997,0.6880188584327698,0.641115152835846,10,569,578,,
2024-09-30_17-32-22_0001845,1845,5,noise,2.5565866666666666,2.57792,0.0213333333333336,0.6238237023353577,0.564353734254837,6,594,599,,
2024-09-30_17-32-22_0001845,1845,6,noise,2.6120533333333333,2.65472,0.0426666666666668,0.862411379814148,0.7652090896259655,11,607,617,,
2024-09-30_17-32-22_0001845,1845,7,usv,2.6845866666666667,2.727253333333333,0.0426666666666668,0.7053053379058838,0.600291596217589,11,624,634,,
2024-09-30_17-32-22_0001845,1845,8,noise,4.156586666666667,4.16512,0.0085333333333332,0.6088933348655701,0.5571595827738444,3,969,971,,
2024-09-30_17-32-22_0001845,1845,9,noise,4.212053333333333,4.271786666666666,0.0597333333333329,0.7397205233573914,0.6349907557169596,15,982,996,,
2024-09-30_17-32-28_0001847,1847,0,usv,1.31072,1.34912,0.0383999999999999,0.8544706106185913,0.8118375360965728,10,302,311,,
2024-09-30_17-32-28_0001847,1847,1,usv,1.36192,1.4344533333333334,0.0725333333333333,0.6894345879554749,0.5979000098175473,18,314,331,,
2024-09-30_17-32-28_0001847,1847,2,noise,1.5581866666666666,1.5752533333333334,0.0170666666666667,0.6097803711891174,0.5394958794116974,5,360,364,,
2024-09-30_17-42-51_0001930,1930,0,noise,1.0589866666666667,1.0888533333333332,0.0298666666666664,0.7768941521644592,0.6059113889932632,8,243,250,,
2024-09-30_17-42-51_0001930,1930,1,noise,1.1912533333333333,1.1997866666666666,0.0085333333333332,0.6212515830993652,0.542078028122584,3,274,276,,
2024-09-30_17-42-51_0001930,1930,2,noise,1.3192533333333334,1.327786666666667,0.0085333333333332,0.6206938624382019,0.5423810283342997,3,304,306,,
2024-09-30_17-45-49_0001960,1960,0,noise,1.0504533333333332,1.0717866666666669,0.0213333333333334,0.7765337824821472,0.6571578085422516,6,241,246,,
2024-09-30_17-45-49_0001960,1960,1,noise,1.19552,1.2168533333333331,0.0213333333333334,0.6501216888427734,0.5665656179189682,6,275,280,,
2024-09-30_18-03-47_0002096,2096,0,noise,0.0477866666666666,0.10752,0.0597333333333333,0.6849867105484009,0.6523840069770813,15,6,20,,
2024-09-30_18-03-47_0002096,2096,1,noise,0.1416533333333333,0.17152,0.0298666666666666,0.6402937173843384,0.576008353382349,8,28,35,,
2024-09-30_18-03-47_0002096,2096,2,noise,0.1885866666666666,0.2525866666666667,0.064,0.693532407283783,0.6653077714145184,16,39,54,,
2024-09-30_18-03-47_0002096,2096,3,noise,0.28672,0.3421866666666666,0.0554666666666666,0.6556612849235535,0.589244910648891,14,62,75,,
2024-09-30_18-03-47_0002096,2096,4,noise,0.3592533333333333,0.3805866666666667,0.0213333333333333,0.62068772315979,0.5746694852908453,6,79,84,,
2024-09-30_18-03-47_0002096,2096,5,noise,0.4573866666666666,0.4957866666666666,0.0383999999999999,0.6470097899436951,0.6113018333911896,10,102,111,,
2024-09-30_18-03-47_0002096,2096,6,noise,0.6493866666666667,0.6920533333333333,0.0426666666666666,0.6465635299682617,0.5705630887638439,11,147,157,,
2024-09-30_18-03-47_0002096,2096,7,noise,0.7005866666666667,0.7133866666666666,0.0127999999999999,0.6148844361305237,0.5435049831867218,4,159,162,,
2024-09-30_18-03-47_0002096,2096,8,noise,0.9864533333333332,1.0205866666666668,0.0341333333333334,0.7781302332878113,0.6881780756844414,9,226,234,,
2024-09-30_18-03-47_0002096,2096,9,noise,1.13152,1.1869866666666666,0.0554666666666665,0.8711509704589844,0.7289939991065434,14,260,273,,
2024-09-30_18-03-47_0002096,2096,10,usv,1.24672,1.3917866666666667,0.1450666666666666,0.9143075346946716,0.6827309106077467,35,287,321,,
2024-09-30_18-03-47_0002096,2096,11,usv,1.4557866666666666,1.4685866666666667,0.0128000000000001,0.629533588886261,0.5279084518551826,4,336,339,,
2024-09-30_18-03-47_0002096,2096,12,noise,1.5069866666666667,1.5240533333333333,0.0170666666666665,0.6731212139129639,0.6006677150726318,5,348,352,,
2024-09-30_18-03-47_0002096,2096,13,noise,1.5325866666666668,1.5965866666666666,0.0639999999999998,0.6905707120895386,0.6056952998042107,16,354,369,,
2024-09-30_18-03-47_0002096,2096,14,noise,1.61792,1.6477866666666667,0.0298666666666667,0.6714280843734741,0.5921340584754944,8,374,381,,
2024-09-30_18-03-47_0002096,2096,15,noise,1.6605866666666669,1.6989866666666666,0.0383999999999999,0.659772515296936,0.5843623638153076,10,384,393,,
2024-09-30_18-03-47_0002096,2096,16,noise,1.7416533333333333,1.80992,0.0682666666666667,0.6584900617599487,0.5672381502740523,17,403,419,,
2024-09-30_18-03-47_0002096,2096,17,noise,1.8653866666666667,1.9293866666666664,0.0639999999999998,0.6737805008888245,0.5616666749119759,16,432,447,,
2024-09-30_18-03-47_0002096,2096,18,noise,1.9549866666666669,2.061653333333333,0.1066666666666664,0.7167766094207764,0.6223321419495803,26,453,478,,
2024-09-30_18-03-47_0002096,2096,19,noise,2.15552,2.1853866666666666,0.0298666666666664,0.6248647570610046,0.5636857897043228,8,500,507,,
2024-09-30_18-03-47_0002096,2096,20,noise,2.21952,2.30912,0.0895999999999999,0.6653665900230408,0.5717683962800286,22,515,536,,
2024-09-30_18-03-47_0002096,2096,21,noise,2.43712,2.4797866666666666,0.0426666666666664,0.6620992422103882,0.5929751098155975,11,566,576,,
2024-09-30_18-03-47_0002096,2096,22,noise,2.68032,2.71872,0.0383999999999997,0.6650984287261963,0.6217996120452881,10,623,632,,
2024-09-30_18-03-47_0002096,2096,23,noise,2.7613866666666667,2.76992,0.0085333333333332,0.6221621036529541,0.568397323290507,3,642,644,,
2024-09-30_18-03-47_0002096,2096,24,noise,2.804053333333333,2.855253333333333,0.0511999999999996,0.6549310684204102,0.6169912356596726,13,652,664,,
2024-09-30_18-30-47_0002273,2273,0,noise,0.9608533333333332,1.01632,0.0554666666666665,0.8925392031669617,0.7317522466182709,14,220,233,,
2024-09-30_18-48-47_0002361,2361,0,noise,0.0605866666666666,0.0776533333333333,0.0170666666666666,0.7570031881332397,0.6155832171440124,5,9,13,,
2024-09-30_18-48-47_0002361,2361,1,noise,0.0861866666666666,0.09472,0.0085333333333333,0.6275187730789185,0.5883251825968424,3,15,17,,
2024-09-30_19-00-57_0002431,2431,0,noise,1.0120533333333332,1.04192,0.0298666666666667,0.787000298500061,0.7216096594929695,8,232,239,,
2024-09-30_19-00-57_0002431,2431,1,noise,1.1357866666666667,1.1741866666666667,0.0383999999999999,0.7790546417236328,0.6867277145385742,10,261,270,,
2024-09-30_19-20-03_0002522,2522,0,noise,1.0120533333333332,1.0504533333333332,0.0383999999999999,0.8521555066108704,0.7908259034156799,10,232,241,,
2024-09-30_21-34-29_0003189,3189,0,noise,1.37472,1.40032,0.0256,0.7127171754837036,0.6747813480240958,7,317,323,,
2024-09-30_21-34-29_0003189,3189,1,noise,2.4925866666666665,2.52672,0.0341333333333335,0.638896644115448,0.5672657589117686,9,579,587,,
2024-09-30_21-34-29_0003189,3189,2,usv,2.573653333333333,2.64192,0.0682666666666667,0.7615184187889099,0.6287553450640511,17,598,614,,
2024-09-30_21-34-29_0003189,3189,3,usv,2.663253333333333,2.70592,0.0426666666666664,0.836211621761322,0.7460874264890497,11,619,629,,
2024-09-30_21-34-29_0003189,3189,4,usv,2.722986666666667,2.75712,0.0341333333333331,0.7350071668624878,0.6109628280003866,9,633,641,,
2024-09-30_22-35-36_0003493,3493,0,noise,2.94912,2.9832533333333333,0.0341333333333331,0.7600677013397217,0.6802020933892992,9,686,694,,
2024-09-30_22-35-36_0003493,3493,1,noise,3.11552,3.15392,0.0383999999999997,0.8332947492599487,0.7679872989654541,10,725,734,,
2024-09-30_22-35-36_0003493,3493,2,noise,3.94752,3.9816533333333335,0.0341333333333335,0.7982581257820129,0.7320443325572543,9,920,928,,
2024-09-30_22-35-36_0003493,3493,3,noise,4.096853333333334,4.118186666666666,0.0213333333333327,0.6797691583633423,0.6235551039377848,6,955,960,,
2024-09-30_22-36-23_0003502,3502,0,noise,1.037653333333333,1.1016533333333334,0.064,0.7916553616523743,0.6538773588836193,16,238,253,,
2024-09-30_22-36-23_0003502,3502,1,noise,1.19552,1.2296533333333333,0.0341333333333333,0.791130781173706,0.6927347911728753,9,275,283,,
2024-09-30_22-36-23_0003502,3502,2,noise,1.32352,1.3576533333333334,0.0341333333333333,0.7838010787963867,0.7144251532024808,9,305,313,,
2024-09-30_22-36-23_0003502,3502,3,noise,1.9421866666666667,2.0232533333333333,0.0810666666666666,0.8640776872634888,0.7739125162363052,20,450,469,,
2024-09-30_22-36-23_0003502,3502,4,noise,2.69312,2.71872,0.0255999999999998,0.6262879967689514,0.5640487628323692,7,626,632,,
2024-09-30_22-36-23_0003502,3502,5,noise,2.7741866666666666,2.812586666666667,0.0384000000000002,0.835379421710968,0.7537025213241577,10,645,654,,
2024-09-30_22-36-23_0003502,3502,6,noise,3.37152,3.4312533333333333,0.0597333333333334,0.8403122425079346,0.6969059367974599,15,785,799,,
2024-09-30_22-36-23_0003502,3502,7,noise,3.4397866666666665,3.4781866666666668,0.0384000000000002,0.8098625540733337,0.7400675594806672,10,801,810,,
2024-09-30_22-36-29_0003503,3503,0,noise,1.0632533333333334,1.0760533333333333,0.0127999999999999,0.7782853841781616,0.7340364158153534,4,244,247,,
2024-09-30_22-36-29_0003503,3503,1,noise,1.7032533333333333,1.7160533333333334,0.0128000000000001,0.634979248046875,0.5557002425193787,4,394,397,,
2024-09-30_23-11-29_0003655,3655,0,noise,0.9736533333333334,1.0120533333333332,0.0383999999999998,0.8640946745872498,0.8254309117794036,10,223,232,,
2024-09-30_23-37-29_0003781,3781,0,noise,1.0205866666666668,1.06752,0.0469333333333332,0.8592032194137573,0.7454225271940231,12,234,245,,
2024-09-30_23-39-35_0003794,3794,0,noise,1.02912,1.0589866666666667,0.0298666666666667,0.7667697072029114,0.5577535517513752,8,236,243,,
2024-10-01_03-02-21_0004494,4494,0,noise,0.90112,0.92672,0.0255999999999999,0.7479494214057922,0.6523056626319885,7,206,212,,
2024-10-01_03-02-21_0004494,4494,1,noise,1.9805866666666667,2.05312,0.0725333333333331,0.8877068758010864,0.810232013463974,18,459,476,,
2024-10-01_05-57-44_0004783,4783,0,usv,0.1800533333333333,0.2141866666666666,0.0341333333333333,0.7979308366775513,0.7455644342634413,9,37,45,,
2024-10-01_05-57-44_0004783,4783,1,usv,1.00352,1.037653333333333,0.0341333333333333,0.6441646218299866,0.5872465603881412,9,230,238,,
2024-10-01_05-57-44_0004783,4783,2,usv,1.11872,1.15712,0.0383999999999999,0.8465607762336731,0.7891593694686889,10,257,266,,
2024-10-01_05-57-44_0004783,4783,3,usv,1.24672,1.28512,0.0383999999999999,0.8465607762336731,0.7891593694686889,10,287,296,,
2024-10-01_05-57-44_0004783,4783,4,usv,1.64352,1.6776533333333334,0.0341333333333333,0.839123010635376,0.7923983666631911,9,380,388,,
2024-10-01_08-58-52_0004954,4954,0,noise,0.0221866666666666,0.0733866666666666,0.0512,0.7155774235725403,0.6231444821907923,13,0,12,,
2024-10-01_08-58-52_0004954,4954,1,noise,0.2440533333333333,0.27392,0.0298666666666666,0.6647780537605286,0.6055357716977596,8,52,59,,
2024-10-01_08-58-52_0004954,4954,2,noise,0.32512,0.3421866666666666,0.0170666666666666,0.6224820613861084,0.5678418934345245,5,71,75,,
2024-10-01_08-58-52_0004954,4954,3,usv,0.55552,0.56832,0.0128,0.7495786547660828,0.7206201702356339,4,125,128,,
2024-10-01_08-58-52_0004954,4954,4,noise,0.5896533333333334,0.5981866666666666,0.0085333333333332,0.70775306224823,0.6165838241577148,3,133,135,,
2024-10-01_08-58-52_0004954,4954,5,noise,0.7261866666666666,0.7389866666666667,0.0128,0.6117951273918152,0.5599691644310951,4,165,168,,
2024-10-01_08-58-52_0004954,4954,6,noise,0.8456533333333334,0.90112,0.0554666666666666,0.718068540096283,0.6654234783990043,14,193,206,,
2024-10-01_08-58-52_0004954,4954,7,noise,0.99072,1.0632533333333334,0.0725333333333333,0.7123742699623108,0.6627671122550964,18,227,244,,
2024-10-01_08-58-52_0004954,4954,8,usv,1.2765866666666668,1.3149866666666667,0.0383999999999999,0.7222153544425964,0.7019745945930481,10,294,303,,
2024-10-01_08-58-52_0004954,4954,9,noise,1.3917866666666667,1.4301866666666667,0.0383999999999999,0.6346505880355835,0.5523298799991607,10,321,330,,
2024-10-01_08-58-52_0004954,4954,10,noise,1.7501866666666666,1.83552,0.0853333333333334,0.8235623836517334,0.7252403980209714,21,405,425,,
2024-10-01_08-58-52_0004954,4954,11,usv,1.93792,1.9464533333333327,0.0085333333333332,0.6031109690666199,0.5708329478899637,3,449,451,,
2024-10-01_08-58-52_0004954,4954,12,noise,1.96352,1.9805866666666667,0.0170666666666667,0.6229885220527649,0.561384129524231,5,455,459,,
2024-10-01_08-58-52_0004954,4954,13,noise,2.23232,2.25792,0.0255999999999998,0.6331713199615479,0.5851568749972752,7,518,524,,
2024-10-01_08-58-52_0004954,4954,14,noise,2.3901866666666667,2.586453333333333,0.1962666666666668,0.8105029463768005,0.6952401298157712,47,555,601,,
2024-10-01_08-58-52_0004954,4954,15,usv,2.9021866666666667,2.91072,0.0085333333333332,0.6424932479858398,0.6087015867233276,3,675,677,,
2024-10-01_08-58-52_0004954,4954,16,noise,2.9192533333333333,2.94912,0.0298666666666669,0.6739028096199036,0.606075506657362,8,679,686,,
2024-10-01_08-58-52_0004954,4954,17,noise,3.1880533333333334,3.226453333333333,0.0383999999999997,0.6008824110031128,0.5867407262325287,10,742,751,,
2024-10-01_08-58-52_0004954,4954,18,noise,3.29472,3.328853333333333,0.0341333333333335,0.6528092622756958,0.5691717863082886,9,767,775,,
2024-10-01_08-58-52_0004954,4954,19,noise,3.3373866666666667,3.37152,0.0341333333333331,0.6819860935211182,0.5848577817281088,9,777,785,,
2024-10-01_08-58-52_0004954,4954,20,noise,3.426986666666666,3.44832,0.0213333333333332,0.6614265441894531,0.6235353946685791,6,798,803,,
2024-10-01_08-58-52_0004954,4954,21,noise,3.49952,3.55072,0.0512000000000001,0.632552981376648,0.6157617110472459,13,815,827,,
2024-10-01_08-58-52_0004954,4954,22,noise,3.5720533333333333,3.584853333333333,0.0127999999999999,0.6154866218566895,0.5564051270484924,4,832,835,,
2024-10-01_12-20-03_0005107,5107,0,noise,0.99072,0.9992533333333332,0.0085333333333332,0.6723858714103699,0.5878878633181254,3,227,229,,
2024-10-01_12-20-03_0005107,5107,1,noise,1.0717866666666669,1.08032,0.0085333333333332,0.6031718850135803,0.540632555882136,3,246,248,,
2024-10-01_17-18-59_0005656,5656,0,noise,1.033386666666667,1.1101866666666669,0.0767999999999999,0.8493929505348206,0.7458724505022952,19,237,255,,
2024-10-01_17-18-59_0005656,5656,1,noise,1.2253866666666666,1.2381866666666668,0.0128000000000001,0.8210905194282532,0.6705954670906067,4,282,285,,
2024-10-01_17-18-59_0005656,5656,2,noise,1.3533866666666667,1.3661866666666669,0.0127999999999999,0.8205096125602722,0.6693181619048119,4,312,315,,
2024-10-01_17-18-59_0005656,5656,3,noise,1.4813866666666666,1.4941866666666668,0.0128000000000001,0.8209689259529114,0.6709635704755783,4,342,345,,
2024-10-01_17-18-59_0005656,5656,4,noise,1.6093866666666667,1.6221866666666669,0.0127999999999999,0.8210685849189758,0.6709350049495697,4,372,375,,
2024-10-01_17-18-59_0005656,5656,5,noise,1.7373866666666666,1.7501866666666666,0.0127999999999999,0.8208702206611633,0.6704302132129669,4,402,405,,
2024-10-01_17-18-59_0005656,5656,6,noise,1.8653866666666667,1.878186666666667,0.0127999999999999,0.8205917477607727,0.6702083349227905,4,432,435,,
2024-10-01_17-18-59_0005656,5656,7,noise,1.9933866666666664,2.006186666666667,0.0128000000000001,0.8205813765525818,0.6704046577215195,4,462,465,,
2024-10-01_17-18-59_0005656,5656,8,noise,2.1213866666666665,2.1341866666666665,0.0127999999999999,0.8207029700279236,0.6615332812070847,4,492,495,,
2024-10-01_17-18-59_0005656,5656,9,noise,2.407253333333333,2.441386666666667,0.0341333333333335,0.7442449927330017,0.6981970932748582,9,559,567,,
2024-10-01_17-18-59_0005656,5656,10,noise,2.9832533333333333,3.021653333333333,0.0384000000000002,0.7650511264801025,0.6688107252120972,10,694,703,,
2024-10-01_17-18-59_0005656,5656,11,noise,3.70432,3.7341866666666665,0.0298666666666664,0.6598426103591919,0.5499474816024303,8,863,870,,
2024-10-01_17-18-59_0005656,5656,12,noise,5.3597866666666665,5.39392,0.0341333333333331,0.7635429501533508,0.6659151713053385,9,1251,1259,,
2024-10-01_17-47-11_0005843,5843,0,noise,1.0248533333333334,1.0589866666666667,0.0341333333333333,0.8208888173103333,0.7240466740396287,9,235,243,,
2024-10-01_17-52-29_0005882,5882,0,noise,0.0520533333333333,0.0605866666666666,0.0085333333333333,0.6140908002853394,0.5782991449038187,3,7,9,,
2024-10-01_17-52-29_0005882,5882,1,noise,0.4445866666666667,0.49152,0.0469333333333333,0.6005941033363342,0.5238449250658354,12,99,110,,
2024-10-01_17-52-29_0005882,5882,2,noise,0.95232,0.99072,0.0383999999999999,0.7684311866760254,0.7054633259773254,10,218,227,,
2024-10-01_17-52-29_0005882,5882,3,usv,1.04192,1.08032,0.0383999999999999,0.8320810794830322,0.7558507740497589,10,239,248,,
2024-10-01_17-52-29_0005882,5882,4,usv,1.9720533333333328,1.9805866666666667,0.0085333333333332,0.6069489121437073,0.5721733967463175,3,457,459,,
2024-10-01_18-29-16_0006086,6086,0,noise,1.0205866666666668,1.02912,0.0085333333333332,0.671331524848938,0.5923362970352173,3,234,236,,
2024-10-01_18-29-16_0006086,6086,1,noise,1.0504533333333332,1.0845866666666666,0.0341333333333333,0.8022357821464539,0.7490716841485765,9,241,249,,
2024-10-01_18-29-16_0006086,6086,2,noise,1.1912533333333333,1.2125866666666667,0.0213333333333334,0.7703778147697449,0.7339402139186859,6,274,279,,
2024-10-01_18-29-16_0006086,6086,3,noise,1.3192533333333334,1.3405866666666666,0.0213333333333332,0.7874972820281982,0.7387279570102692,6,304,309,,
2024-10-01_18-29-16_0006086,6086,4,noise,1.87392,1.9336533333333328,0.0597333333333331,0.8631294965744019,0.7132915298144022,15,434,448,,
2024-10-01_18-29-16_0006086,6086,5,noise,2.650453333333333,2.6845866666666667,0.0341333333333331,0.7824528813362122,0.7008767061763339,9,616,624,,
2024-10-01_18-36-10_0006113,6113,0,noise,0.9992533333333332,1.033386666666667,0.0341333333333333,0.6437674760818481,0.578278018368615,9,229,237,,
2024-10-01_18-36-10_0006113,6113,1,usv,2.070186666666667,2.10432,0.0341333333333331,0.8825316429138184,0.8517260286543105,9,480,488,,
2024-10-01_19-12-40_0006394,6394,0,noise,0.03072,0.1544533333333333,0.1237333333333333,0.6574973464012146,0.5851270486911138,30,2,31,,
2024-10-01_19-12-40_0006394,6394,1,noise,0.1629866666666666,0.22272,0.0597333333333333,0.6875897645950317,0.6247266968091328,15,33,47,,
2024-10-01_19-12-40_0006394,6394,2,noise,0.8840533333333334,0.93952,0.0554666666666666,0.8785760402679443,0.7392668149300984,14,202,215,,
2024-10-01_19-12-40_0006394,6394,3,noise,0.9821866666666668,1.1101866666666669,0.128,0.7470663785934448,0.61241665290248,31,225,255,,
2024-10-01_19-12-40_0006394,6394,4,usv,1.11872,1.1656533333333334,0.0469333333333334,0.7705856561660767,0.5980254486203194,12,257,268,,
2024-10-01_19-12-40_0006394,6394,5,noise,1.1784533333333334,1.2381866666666668,0.0597333333333334,0.7113115191459656,0.5461128513018291,15,271,285,,
2024-10-01_19-12-40_0006394,6394,6,noise,1.24672,1.293653333333333,0.0469333333333332,0.7705856561660767,0.5980254486203194,12,287,298,,
2024-10-01_19-12-40_0006394,6394,7,noise,1.3064533333333332,1.4472533333333333,0.1408,0.7237305045127869,0.630646808182492,34,301,334,,
2024-10-01_19-12-40_0006394,6394,8,noise,1.51552,1.56672,0.0511999999999999,0.6401941776275635,0.5768601412956531,13,350,362,,
2024-10-01_19-12-40_0006394,6394,9,noise,1.83552,1.8568533333333328,0.0213333333333332,0.7261621952056885,0.6310333609580994,6,425,430,,
2024-10-01_19-12-40_0006394,6394,10,noise,1.89952,1.9549866666666669,0.0554666666666665,0.7719846963882446,0.6698702531201499,14,440,453,,
2024-10-01_19-12-40_0006394,6394,11,noise,1.9720533333333328,2.0232533333333333,0.0511999999999999,0.6257903575897217,0.5616130783007696,13,457,469,,
2024-10-01_19-12-42_0006395,6395,0,noise,0.04352,0.0904533333333333,0.0469333333333333,0.8103221654891968,0.6952399363120397,12,5,16,,
2024-10-01_19-12-42_0006395,6395,1,noise,0.7261866666666666,0.74752,0.0213333333333333,0.6832902431488037,0.5968364626169205,6,165,170,,
2024-10-01_19-12-42_0006395,6395,2,noise,1.27232,1.3064533333333332,0.0341333333333333,0.6921720504760742,0.6202976074483659,9,293,301,,
2024-10-01_19-12-42_0006395,6395,3,noise,1.4984533333333334,1.5368533333333334,0.0383999999999999,0.8160868287086487,0.7826074957847595,10,346,355,,
2024-10-01_19-12-42_0006395,6395,4,usv,2.070186666666667,2.0872533333333334,0.0170666666666665,0.6152312159538269,0.5387388646602631,5,480,484,,
2024-10-01_01-03-15_0004134,4134,0,usv,0.9821866666666667,1.0888533333333332,0.10666666666666658,0.7475754022598267,0.38547009229660034,0,2300,2550,USV_Detections_accepted,USV_Detections/2024-10-01_01-03-15_0004134/detection_000_0.982s-1.089s.png
2024-10-01_01-03-15_0004134,4134,1,usv,1.1229866666666666,1.23392,0.11093333333333333,0.7351586222648621,0.31674009561538696,0,2630,2890,USV_Detections_accepted,USV_Detections/2024-10-01_01-03-15_0004134/detection_001_1.123s-1.234s.png
2024-10-01_01-03-15_0004134,4134,2,usv,1.2893866666666667,1.3405866666666666,0.05119999999999991,0.4302738606929779,0.2168343961238861,0,3020,3140,USV_Detections_accepted,USV_Detections/2024-10-01_01-03-15_0004134/detection_002_1.289s-1.341s.png
2024-10-01_01-03-15_0004134,4134,3,usv,1.3533866666666667,1.3917866666666667,0.03839999999999999,0.10384547710418701,0.06944584101438522,0,3170,3260,USV_Detections_accepted,USV_Detections/2024-10-01_01-03-15_0004134/detection_003_1.353s-1.392s.png
2024-10-01_01-03-15_0004134,4134,4,usv,1.48992,1.5240533333333333,0.03413333333333335,0.08634341508150101,0.0590667799115181,0,3490,3570,USV_Detections_accepted,USV_Detections/2024-10-01_01-03-15_0004134/detection_004_1.490s-1.524s.png
2024-10-01_01-03-15_0004134,4134,5,usv,1.63072,1.6861866666666667,0.055466666666666775,0.23208288848400116,0.13461290299892426,0,3820,3950,USV_Detections_accepted,USV_Detections/2024-10-01_01-03-15_0004134/detection_005_1.631s-1.686s.png
2024-10-01_01-03-15_0004134,4134,6,usv,1.7672533333333333,1.8056533333333333,0.03839999999999999,0.15378044545650482,0.07341209799051285,0,4140,4230,USV_Detections_accepted,USV_Detections/2024-10-01_01-03-15_0004134/detection_006_1.767s-1.806s.png
