call_id,path,cohort,slope
131211_1000_m3fm1_chunk_114__det2,data/alpha3_gamma_relabel/131211_1000_m3fm1_chunk_114__det2.png,m3fm1,-110.42534551776971
131211_1800_m3fm1_chunk_249__det1,data/alpha3_gamma_relabel/131211_1800_m3fm1_chunk_249__det1.png,m3fm1,-12.10603944727252
131211_1800_m4fm2_chunk_073__det5,data/alpha3_gamma_relabel/131211_1800_m4fm2_chunk_073__det5.png,m4fm2,-7.330972049026624
131211_1800_m4fm2_chunk_309__det4,data/alpha3_gamma_relabel/131211_1800_m4fm2_chunk_309__det4.png,m4fm2,-1.0402215571080166e-14
131211_1800_m5fm5_chunk_239__det2,data/alpha3_gamma_relabel/131211_1800_m5fm5_chunk_239__det2.png,m5fm5,-264.0051718178489
131212_1000_m1fm2_chunk_016__det1,data/alpha3_gamma_relabel/131212_1000_m1fm2_chunk_016__det1.png,m1fm2,-8.318024973856332
131212_1000_m1fm2_chunk_016__det8,data/alpha3_gamma_relabel/131212_1000_m1fm2_chunk_016__det8.png,m1fm2,104.47710492918456
131212_1000_m1fm2_chunk_018__det3,data/alpha3_gamma_relabel/131212_1000_m1fm2_chunk_018__det3.png,m1fm2,-104.90670041711483
131212_1000_m2fm3_chunk_071__det12,data/alpha3_gamma_relabel/131212_1000_m2fm3_chunk_071__det12.png,m2fm3,15.566623498778617
131212_1000_m2fm3_chunk_170__det2,data/alpha3_gamma_relabel/131212_1000_m2fm3_chunk_170__det2.png,m2fm3,-130.9308752843037
131212_1000_m3fm4_chunk_014__det3,data/alpha3_gamma_relabel/131212_1000_m3fm4_chunk_014__det3.png,m3fm4,-96.1148671182826
131212_1000_m3fm4_chunk_053__det12,data/alpha3_gamma_relabel/131212_1000_m3fm4_chunk_053__det12.png,m3fm4,-57.33829536516935
131212_1000_m3fm4_chunk_097__det6,data/alpha3_gamma_relabel/131212_1000_m3fm4_chunk_097__det6.png,m3fm4,-148.5929362162862
131212_1000_m3fm4_chunk_152__det3,data/alpha3_gamma_relabel/131212_1000_m3fm4_chunk_152__det3.png,m3fm4,-160.40613411203452
131212_1000_m4fm3_chunk_034__det3,data/alpha3_gamma_relabel/131212_1000_m4fm3_chunk_034__det3.png,m4fm3,-228.381543763268
131212_1000_m4fm3_chunk_035__det4,data/alpha3_gamma_relabel/131212_1000_m4fm3_chunk_035__det4.png,m4fm3,-170.85090977905003
131212_1000_m4fm3_chunk_126__det2,data/alpha3_gamma_relabel/131212_1000_m4fm3_chunk_126__det2.png,m4fm3,-58.30515511688956
131217_1400_m2fm4_chunk_009__det4,data/alpha3_gamma_relabel/131217_1400_m2fm4_chunk_009__det4.png,m2fm4,-20.23664594246308
131217_1400_m2fm4_chunk_097__det1,data/alpha3_gamma_relabel/131217_1400_m2fm4_chunk_097__det1.png,m2fm4,-94.8170238407397
131217_1400_m3fm2_chunk_011__det0,data/alpha3_gamma_relabel/131217_1400_m3fm2_chunk_011__det0.png,m3fm2,-99.2911821551001
131217_1400_m3fm2_chunk_132__det1,data/alpha3_gamma_relabel/131217_1400_m3fm2_chunk_132__det1.png,m3fm2,95.4980226795498
131217_1400_m3fm2_chunk_290__det8,data/alpha3_gamma_relabel/131217_1400_m3fm2_chunk_290__det8.png,m3fm2,149.7393958591298
131217_1400_m4fm3_chunk_050__det0,data/alpha3_gamma_relabel/131217_1400_m4fm3_chunk_050__det0.png,m4fm3,-48.9375626331358
131217_1400_m5fm5_chunk_174__det2,data/alpha3_gamma_relabel/131217_1400_m5fm5_chunk_174__det2.png,m5fm5,-14.621152180721817
