stem,label,event_idx,start_col,end_col,max_probability,mean_probability,n_total_columns,n_broadband_columns,n_tonal_columns,tonal_fraction,max_consecutive_tonal,mean_flatness,min_flatness,median_flatness,std_flatness
2024-10-01_17-18-59_0005656,1960_problem,8,4920,4950,0.8207029700279236,0.6615332812070847,30,0,2,0.06666666666666667,1,0.5632737503348274,0.49676981237415185,0.5625163434141465,0.04055811761830302
2024-10-01_18-29-16_0006086,1960_problem,0,4340,4480,0.8631294965744019,0.7132915298144022,140,0,16,0.11428571428571428,3,0.5579007116581008,0.44639438691914135,0.5620974917753032,0.042636879258348276
2024-09-30_11-22-17_0000053,good_reference,0,430,520,0.9346469640731812,0.8831925213336944,90,0,29,0.32222222222222224,12,0.5081946888209221,0.21621273680210018,0.5315650600352271,0.10109646126737125
2024-09-30_11-22-17_0000053,good_reference,1,1550,1640,0.8743100762367249,0.8065248191356659,90,0,15,0.16666666666666666,2,0.5436516460150155,0.4348607727626085,0.5403827669459511,0.04735626485447336
2024-09-30_11-22-17_0000053,good_reference,2,2340,2580,0.9985754489898682,0.9508644080162049,240,0,159,0.6625,113,0.3892876106813224,0.06280110564137593,0.372632226649448,0.15929338073279561
2024-09-30_11-22-17_0000053,good_reference,3,2710,2910,0.9964606165885925,0.8765827687013716,200,0,93,0.465,36,0.4684980355206991,0.112353994499265,0.5132013927895269,0.12878614346940312
2024-09-30_11-22-17_0000053,good_reference,4,3030,3180,0.9912609457969666,0.9147259518504143,150,0,68,0.4533333333333333,14,0.4867047151397768,0.1358027091352668,0.5097527287057999,0.10086044583704681
2024-09-30_11-22-19_0000054,good_reference,0,2340,2460,0.9605956673622131,0.8785592684378991,120,0,52,0.43333333333333335,31,0.4828774534087587,0.13205711718075885,0.5144769236367388,0.12482583923520064
2024-09-30_11-22-19_0000054,good_reference,1,2640,2840,0.9969279170036316,0.9097436212358021,200,6,152,0.7835051546391752,79,0.3666203639444004,0.057287941794929985,0.3821485110607727,0.1411857176588277
2024-09-30_11-22-19_0000054,good_reference,2,2970,3280,0.9992983341217041,0.9509380906820297,310,9,215,0.7142857142857143,101,0.34443883671451736,0.04470244772033094,0.3344963285916431,0.1720171766076157
2024-09-30_18-37-17_0002311,auto_accept,0,2110,2230,0.9822659492492676,0.9079748758902917,120,0,50,0.4166666666666667,34,0.4881715236557922,0.20699319169444225,0.5180180074462666,0.10242952332733958
2024-09-30_18-37-17_0002311,auto_accept,1,2310,2540,0.9999024868011475,0.9655403991540273,230,0,148,0.6434782608695652,84,0.38679941368422555,0.04431781219537889,0.40523018913076025,0.17044190318543367
2024-09-30_18-37-17_0002311,auto_accept,2,2570,3200,0.9999957084655762,0.9823955949395895,630,0,491,0.7793650793650794,190,0.31490842451326845,0.020624540897654777,0.30451866782905845,0.18209177564101534
2024-09-30_18-37-17_0002311,auto_accept,3,3230,3600,0.9999978542327881,0.9712154143734982,370,0,252,0.6810810810810811,174,0.32442560693497785,0.014991568535811068,0.30275260113114855,0.2025200922159615
2024-09-30_18-37-17_0002311,auto_accept,4,3660,4060,0.9999963045120239,0.9708475761297273,400,0,321,0.8025,111,0.2509224680997083,0.007208115765316897,0.2045450730455911,0.1908096351307295
2024-09-30_18-37-17_0002311,auto_accept,5,4120,4530,0.9999983310699463,0.9767851488930839,410,0,326,0.7951219512195122,175,0.303561705502751,0.013886127374815815,0.28576837969161334,0.17594199303786945
2024-09-30_18-37-17_0002311,auto_accept,6,4580,5700,0.9999996423721313,0.9342023353133582,1120,93,940,0.9152872444011685,326,0.2453917817768163,0.024308019683810564,0.2113927471896719,0.1450560571469336
2024-09-30_18-37-17_0002311,auto_accept,7,5720,6400,0.9999829530715942,0.9517710588980413,680,0,532,0.7823529411764706,171,0.30375604781435217,0.030245291413972277,0.28442454411561124,0.18249273139380282
2024-09-30_18-37-17_0002311,auto_accept,8,6510,6830,0.9997181296348572,0.9741749745426755,320,0,225,0.703125,56,0.3906128102893103,0.07712276954924534,0.40849455514600685,0.15082769651411132
2024-09-30_18-37-17_0002311,auto_accept,9,6940,7360,0.9998384714126587,0.9649477462435878,420,0,282,0.6714285714285714,58,0.40750389983385044,0.05993135931292734,0.4490166785402222,0.15477165606014232
2024-09-30_18-37-17_0002311,auto_accept,10,7390,7800,0.9999109506607056,0.9477216601371765,410,59,268,0.7635327635327636,117,0.29626648655484245,0.043095228777671725,0.2552914969377543,0.1857711834615796
2024-09-30_18-37-17_0002311,auto_accept,11,7930,8260,0.9997709393501282,0.9605447509709526,330,0,212,0.6424242424242425,43,0.3994522728387784,0.07629360129443363,0.42667084756235346,0.15684963856449732
2024-09-30_18-37-17_0002311,auto_accept,12,8470,8580,0.9689418077468872,0.8919269517064095,110,0,24,0.21818181818181817,7,0.5383482847287103,0.36617391063808813,0.5486585730248035,0.06122863831148202
2024-09-30_18-37-17_0002311,auto_accept,13,9650,9880,0.9998377561569214,0.9646667540073395,230,0,141,0.6130434782608696,83,0.41073685952011,0.08492743551604115,0.4323543261709807,0.15054646373059927
2024-09-30_18-37-17_0002311,auto_accept,14,9960,10270,0.9999526739120483,0.9799573179334402,310,0,221,0.7129032258064516,180,0.3023934536953385,0.03386406081979715,0.23040086950970406,0.20299811543351046
2024-09-30_18-37-17_0002311,auto_accept,15,10340,10540,0.9986093044281006,0.9530390614554995,200,0,111,0.555,29,0.43152825234948056,0.07185579906645154,0.45838393451298654,0.146913764414456
2024-09-30_18-37-17_0002311,auto_accept,16,10660,11220,0.9999023675918579,0.9780000479597795,560,0,418,0.7464285714285714,80,0.3421263130837294,0.02018125344864781,0.34948154319810615,0.1737518518677407
2024-09-30_18-37-17_0002311,auto_accept,17,11420,11580,0.9912733435630798,0.9065177125089309,160,0,61,0.38125,24,0.5091977473955887,0.244872450613605,0.5188634249685724,0.07868467390941118
2024-09-30_17-06-19_0001647,auto_accept,0,2300,2570,0.9998809099197388,0.9426034007753644,270,0,147,0.5444444444444444,69,0.4217735793572384,0.043617254084864526,0.48768784959177885,0.16839250947548098
2024-09-30_17-06-19_0001647,auto_accept,1,2700,2870,0.9998756647109985,0.9553077419598898,170,0,101,0.5941176470588235,78,0.3875784735904178,0.043617254084864526,0.44771606086107263,0.18858243719761741
2024-09-30_17-06-19_0001647,auto_accept,2,3000,3520,0.9999982118606567,0.9690080791149499,520,0,376,0.7230769230769231,179,0.340354096593297,0.01068324357760054,0.35030043673096756,0.18598052104124088
2024-09-30_17-06-19_0001647,auto_accept,3,3570,3930,0.999976634979248,0.9602653690286584,360,0,276,0.7666666666666667,203,0.3209732368028116,0.017318415965459202,0.2998988506704465,0.18091401427888457
2024-09-30_17-06-19_0001647,auto_accept,4,4000,4250,0.9998056292533875,0.9667823475140792,250,0,163,0.652,91,0.39156361357115893,0.03805273798349181,0.43185447417941414,0.17155232481787747
2024-09-30_17-06-19_0001647,auto_accept,5,4320,4510,0.9999009370803833,0.9455705285072327,190,0,110,0.5789473684210527,84,0.366445931808094,0.04036319807178277,0.41266964787402194,0.19733384754911984
2024-09-30_17-06-19_0001647,auto_accept,6,4590,4780,0.9994381070137024,0.941146519780159,190,0,104,0.5473684210526316,39,0.4429789481005577,0.1165415973315372,0.47949585079686263,0.13574427128456493
2024-09-30_17-06-19_0001647,auto_accept,7,4850,5360,0.9999496936798096,0.9811220214917109,510,0,416,0.8156862745098039,98,0.27644434213641567,0.020412788608979326,0.235109672981446,0.1855987428474216
2024-09-30_17-06-19_0001647,auto_accept,8,5430,6020,0.99992835521698,0.9877403189738592,590,0,469,0.7949152542372881,136,0.31540299446144404,0.017139859960983002,0.30692885922874813,0.17740967756799447
2024-09-30_17-13-53_0001714,auto_accept,0,2360,3410,0.9999011754989624,0.9913884733083114,1050,0,974,0.9276190476190476,792,0.13594989395303161,0.005608076899397317,0.07764272609850248,0.15620738076653054
2024-09-30_17-13-53_0001714,auto_accept,1,3470,4040,0.9998101592063904,0.9767417835778204,570,0,443,0.7771929824561403,344,0.26265136776942066,0.011848012746221647,0.1987674887479549,0.21035167862582255
2024-09-30_17-13-53_0001714,auto_accept,2,4170,4570,0.9999700784683228,0.9723356569685587,400,0,303,0.7575,155,0.30486155921733454,0.021617185273475007,0.2597325805939396,0.19186515133822823
2024-09-30_15-21-20_0001219,auto_accept,0,4510,5000,0.9999604225158691,0.9626629257202148,490,0,412,0.8408163265306122,402,0.1514189295492926,0.0019503510088785055,0.027171393121068938,0.20878632137375858
2024-09-30_15-21-20_0001219,auto_accept,1,5060,5700,0.9999986886978149,0.953817408818465,640,3,533,0.8367346938775511,163,0.20527977962794483,0.0031016141415437124,0.11619544071287091,0.20676712400891403
2024-09-30_15-21-20_0001219,auto_accept,2,5770,6020,0.9999470710754395,0.9657637133048131,250,0,189,0.756,161,0.24416142591731843,0.006784087238448183,0.12721070842737328,0.21881014930325499
2024-09-30_13-03-14_0000702,auto_accept,0,2160,2260,0.9477940797805786,0.883416165005077,100,0,23,0.23,11,0.5420124963311707,0.36684748433332587,0.5457483961070491,0.05725012149850976
2024-09-30_13-33-29_0000826,auto_accept,0,2250,2700,0.9999986886978149,0.9752542752286663,450,0,362,0.8044444444444444,187,0.3023430480290576,0.03455422076191908,0.27873903603447214,0.16977312974744196
2024-09-30_13-33-29_0000826,auto_accept,1,2720,3270,0.9999994039535522,0.9662243074604443,550,2,402,0.7335766423357665,183,0.3094911770544477,0.024530324821522127,0.2642674759055412,0.1904068119512415
2024-09-30_13-33-29_0000826,auto_accept,2,3330,3790,0.9999988079071045,0.9864053003331448,460,0,366,0.7956521739130434,140,0.28855300320141414,0.0344374964405009,0.22940901704366395,0.1734390619778234
2024-09-30_13-33-29_0000826,auto_accept,3,3900,4070,0.9997279047966003,0.9595281581083933,170,0,94,0.5529411764705883,87,0.3528189832393803,0.0352229315502579,0.3802406158315904,0.22096121667917176
2024-09-30_13-33-29_0000826,auto_accept,4,4140,4710,0.9997609257698059,0.972380539980428,570,0,482,0.8456140350877193,169,0.253806060565387,0.023222673475266797,0.20090574821683857,0.17489385955779269
2024-09-30_13-33-29_0000826,auto_accept,5,4810,5130,0.9991539716720581,0.9677863951885339,320,1,252,0.7899686520376176,78,0.29902029254082607,0.038110887328094804,0.2530979415063164,0.174595417236404
2024-09-30_13-33-29_0000826,auto_accept,6,5220,5450,0.999711811542511,0.9461301056047281,230,0,143,0.6217391304347826,96,0.3463614059671988,0.018200129744954236,0.36044115286811323,0.2083972508144285
2024-09-30_13-33-29_0000826,auto_accept,7,7920,8280,0.9999027252197266,0.9705603042164365,360,0,243,0.675,62,0.41018309487725163,0.10421074970469917,0.41947740488356694,0.13884991446327993
2024-09-30_13-33-29_0000826,auto_accept,8,8580,8670,0.893716037273407,0.8412943661212922,90,0,9,0.1,7,0.5548654284429125,0.38189098220152434,0.555351552077197,0.054256549909654554
2024-09-30_13-33-29_0000826,auto_accept,9,9460,9610,0.9965052604675293,0.9240533336997032,150,0,66,0.44,16,0.47744023625238,0.17544565445449942,0.5163422473862622,0.1215729624743177
2024-09-30_13-33-29_0000826,auto_accept,10,9760,9890,0.9808963537216187,0.9061191422598702,130,0,49,0.3769230769230769,21,0.4897060568893765,0.1763305120791251,0.5324639885735838,0.12484000282141103
2024-09-30_13-33-29_0000826,auto_accept,11,9980,10160,0.9996962547302246,0.925761385967857,180,0,87,0.48333333333333334,46,0.434347439923943,0.0591692128789104,0.5077155418079604,0.16476818666943677
2024-09-30_13-33-29_0000826,auto_accept,12,10360,10540,0.996181845664978,0.934674300645527,180,0,86,0.4777777777777778,14,0.4882602408164201,0.16678257096110313,0.5039628408166165,0.09989892771603533
2024-09-30_21-45-52_0003260,auto_accept,0,2110,2300,0.8519907593727112,0.7150495380163193,190,0,38,0.2,13,0.54109280807047,0.24420249279868608,0.5569656657607684,0.0766021160022507
2024-09-30_21-45-52_0003260,auto_accept,1,2340,3220,0.9995762705802917,0.9197522709878643,880,0,582,0.6613636363636364,188,0.26108436476338054,0.009154563720643152,0.09687303025996138,0.24566475263791646
2024-09-30_21-45-52_0003260,auto_accept,2,3240,3700,0.9998835325241089,0.9720750806179452,460,0,323,0.7021739130434783,204,0.20227333046507778,0.0017124693160859203,0.021833760297154496,0.2529306289215449
2024-09-30_21-45-52_0003260,auto_accept,3,3740,3910,0.9944082498550415,0.8653873768117692,170,0,63,0.37058823529411766,20,0.4901551714131525,0.16689143922234,0.5296038588539689,0.12578751252924242
2024-09-30_21-45-52_0003260,auto_accept,4,5150,5320,0.9994207620620728,0.9436003400219811,170,2,87,0.5178571428571429,60,0.36446557528219486,0.0069629244313369545,0.49527876210470057,0.23739375905755483
2024-09-30_21-45-52_0003260,auto_accept,5,5340,5570,0.9995377063751221,0.9337877283493677,230,0,147,0.6391304347826087,129,0.2606851645044749,0.00205951642143554,0.07152934715323443,0.2621083137538645
2024-09-30_21-45-52_0003260,auto_accept,6,5600,6080,0.9999079704284668,0.9669240676626867,480,10,382,0.8127659574468085,167,0.17933459575759314,0.003928931632645622,0.055795167849469224,0.21134628803594396
2024-09-30_21-45-52_0003260,auto_accept,7,6110,6500,0.9998600482940674,0.909528523683548,390,0,261,0.6692307692307692,94,0.30514811530984526,0.007781703337275115,0.3937817233445087,0.23152094125470832
2024-09-30_21-45-52_0003260,auto_accept,8,6550,6960,0.9991869330406189,0.8512858869064421,410,0,146,0.35609756097560974,66,0.4366655557945874,0.014791500878690966,0.5353610563783036,0.21086201536157637
2024-09-30_21-45-52_0003260,auto_accept,9,7020,7750,0.9999996423721313,0.9904580937849509,730,0,641,0.8780821917808219,406,0.1344555765989423,0.0015535266666791593,0.03997192899070067,0.19274686654626003
2024-09-30_21-45-52_0003260,auto_accept,10,7820,8340,0.9999977350234985,0.9259248690785102,520,0,358,0.6884615384615385,201,0.27921232754137115,0.007029333183381297,0.21070298759840964,0.22867275146402818
2024-09-30_21-45-52_0003260,auto_accept,11,8390,8960,0.9994046688079834,0.9270030825302519,570,70,484,0.968,108,0.10462493564896505,0.004734146705754555,0.042993252823340614,0.13831989572908907
2024-09-30_21-45-52_0003260,auto_accept,12,9070,9440,0.9993754029273987,0.9689811232842898,370,5,311,0.852054794520548,126,0.20388427576559165,0.003925982066891215,0.10501661434740639,0.20752600580430705
2024-09-30_21-45-52_0003260,auto_accept,13,9510,9920,0.9999978542327881,0.9517507283460527,410,22,310,0.7989690721649485,145,0.248116180483485,0.007137585058183764,0.1998820229491161,0.202209044700805
2024-09-30_21-45-52_0003260,auto_accept,14,9980,10380,0.9999923706054688,0.9621106633325902,400,3,304,0.7657430730478589,197,0.21683903483524047,0.0028080700118089164,0.09325929391860086,0.22042987993767024
2024-09-30_21-45-52_0003260,auto_accept,15,10540,11030,0.9998656511306763,0.9316581255197525,490,3,377,0.7741273100616016,314,0.20886886287372983,0.005968508695353391,0.08500053144014237,0.22091769322276317
2024-09-30_21-45-52_0003260,auto_accept,16,11190,11320,0.9985339641571045,0.9409462639263698,130,0,108,0.8307692307692308,49,0.35319136456407857,0.10717915093576394,0.40289047886950413,0.14039917940834157
2024-09-30_21-45-52_0003260,auto_accept,17,11550,11770,0.9994231462478638,0.8831211121185966,220,0,105,0.4772727272727273,94,0.39449305801718937,0.05983021397517126,0.5121943703760409,0.20999166105197103
2024-09-30_21-45-52_0003260,auto_accept,18,11850,12140,0.9990496039390564,0.9620463569959005,290,0,166,0.5724137931034483,67,0.33231604954409383,0.0384798803798715,0.30670682256976434,0.2244799267025415
2024-09-30_16-42-52_0001506,auto_accept,0,2930,3280,0.9999959468841553,0.9535227533843782,350,0,240,0.6857142857142857,132,0.3680849090560152,0.0507279771051727,0.36950922396666963,0.16550410863870038
2024-09-30_16-42-52_0001506,auto_accept,1,3370,3920,0.9999990463256836,0.983461931347847,550,0,451,0.82,203,0.29526939905660343,0.009809525148174696,0.2770170505502,0.17497214568025898
2024-09-30_16-42-52_0001506,auto_accept,2,3990,4470,0.9999998807907104,0.981098083817229,480,0,374,0.7791666666666667,270,0.26857760258242563,0.005376758096269449,0.22481930966734223,0.19436508324783544
2024-09-30_16-42-52_0001506,auto_accept,3,4530,5170,0.9999998807907104,0.9827771085959215,640,0,561,0.8765625,548,0.22311656937925592,0.006286218483906805,0.17404555383212944,0.17400816585501633
2024-09-30_16-42-52_0001506,auto_accept,4,5250,5500,0.9997534155845642,0.9523603778619033,250,0,171,0.684,112,0.30121641512350805,0.011777860940956333,0.22636273531807782,0.20853314654400965
2024-09-30_16-42-52_0001506,auto_accept,5,5580,5990,0.9999594688415527,0.9646525269462949,410,0,318,0.775609756097561,112,0.3011267362284038,0.007107920593555181,0.28562634493199174,0.19061404182266406
2024-09-30_16-42-52_0001506,auto_accept,6,6040,6190,0.9879013299942017,0.8689907155930996,150,0,70,0.4666666666666667,29,0.48936496775765476,0.1642463188554768,0.525077911033897,0.11390860660035278
2024-09-30_16-42-52_0001506,auto_accept,7,6240,6540,0.9998112320899963,0.9625660296409361,300,0,195,0.65,87,0.377749927354778,0.017557389137307713,0.3767664002777139,0.1715698361221188
2024-09-30_16-42-52_0001506,auto_accept,8,6610,7170,0.9998669624328613,0.9564634101432666,560,40,446,0.8576923076923076,143,0.27891941414140486,0.023569247248620095,0.25035983349943947,0.16597819509992343
2024-09-30_16-42-52_0001506,auto_accept,9,7280,7480,0.998873770236969,0.8956856387002128,200,16,151,0.8206521739130435,32,0.3837167413477015,0.0600115518797409,0.389763202756914,0.12042297048629963
2024-09-30_19-28-29_0002579,auto_accept,0,2090,2220,0.9835188984870911,0.908987432718277,130,0,43,0.33076923076923076,18,0.5112786559134539,0.2087822404605381,0.5343288983669936,0.09030027294919464
2024-09-30_19-28-29_0002579,auto_accept,1,2270,2890,0.9999954700469971,0.9794349519033281,620,0,528,0.8516129032258064,225,0.22642984876087902,0.006734895776251725,0.15208731064953104,0.19421849929022014
2024-09-30_19-28-29_0002579,auto_accept,2,2970,3370,0.9996814727783203,0.9880415332026597,400,0,336,0.84,324,0.2028838786620218,0.014629532456202273,0.12183399576321097,0.18749804568114253
2024-09-30_19-28-29_0002579,auto_accept,3,3430,3680,0.9999755620956421,0.9659846127033234,250,0,175,0.7,159,0.32181283700051916,0.03483595492986496,0.28864724436191436,0.19266679152588012
2024-09-30_19-28-29_0002579,auto_accept,4,3770,3910,0.9917762279510498,0.8828811367352803,140,0,86,0.6142857142857143,32,0.4416123202700576,0.15584161933376212,0.45717297002454416,0.12325902175662724
2024-09-30_19-28-29_0002579,auto_accept,5,3970,4300,0.999940037727356,0.9721324776901918,330,0,240,0.7272727272727273,153,0.31846759773162303,0.031228952551875196,0.2942396499150248,0.18778077066265947
2024-09-30_19-28-29_0002579,auto_accept,6,4360,4720,0.9999006986618042,0.9791287360964595,360,0,291,0.8083333333333333,187,0.26430649910189535,0.0195655899207985,0.19570791041792857,0.18263675679110897
2024-09-30_19-28-29_0002579,auto_accept,7,4770,4950,0.9998878240585327,0.9489791330538297,180,0,117,0.65,88,0.36116882312094306,0.026509324882572495,0.4320502282917173,0.19030246437114343
2024-09-30_19-28-29_0002579,auto_accept,8,5030,5430,0.9999779462814331,0.9841317679823899,400,0,330,0.825,210,0.26632774542667037,0.019718756258087427,0.21169655265705561,0.17401666032917504
2024-09-30_19-28-29_0002579,auto_accept,9,5530,5630,0.963580846786499,0.8946661244739186,100,0,45,0.45,10,0.48506597729108963,0.16832926800561013,0.514802535571846,0.10376338767532947
2024-09-30_19-28-29_0002579,auto_accept,10,5760,6160,0.999675989151001,0.9683578348741299,400,0,294,0.735,124,0.37450581035995184,0.0842177694193525,0.37550957134085233,0.14670971983025302
2024-09-30_18-01-00_0002068,auto_accept,0,4060,4190,0.9678437113761902,0.8828047130789075,130,0,32,0.24615384615384617,8,0.5313590921733868,0.31654723955073505,0.5414912231698878,0.0727575057505095
2024-09-30_18-01-00_0002068,auto_accept,1,4230,4530,0.9994102716445923,0.9726339597855845,300,0,187,0.6233333333333333,39,0.402619543319665,0.06844505782428428,0.4279136011573775,0.1540850913502292
2024-09-30_18-01-00_0002068,auto_accept,2,4580,4760,0.9996206760406494,0.9514115076316031,180,0,99,0.55,46,0.4444810880639563,0.12818524141095222,0.48718480354611793,0.13195113850716608
2024-09-30_18-01-00_0002068,auto_accept,3,4890,4960,0.8283464908599854,0.7766203433275223,70,0,4,0.05714285714285714,2,0.5610220527713938,0.40860775177452957,0.5621067045365422,0.045098024038030024
2024-09-30_20-58-01_0002971,auto_accept,0,160,260,0.9584702253341675,0.8929728811437433,100,0,16,0.16,6,0.5564912590313442,0.347219097060369,0.5704156921300232,0.055405878060422034
2024-09-30_20-58-01_0002971,auto_accept,1,500,580,0.8230800628662109,0.7526611023479037,80,0,6,0.075,1,0.5554201579788005,0.46004986971072787,0.5535959968242805,0.038873703412364784
2024-09-30_20-58-01_0002971,auto_accept,2,2330,2470,0.9935814142227173,0.9099478960037232,140,0,65,0.4642857142857143,34,0.4539070893185858,0.12747074082731044,0.50654183970452,0.1452716236312756
2024-09-30_20-58-01_0002971,auto_accept,3,2520,3200,0.9999997615814209,0.9106434639813243,680,0,394,0.5794117647058824,140,0.3886117525801019,0.04646397347117818,0.42759791085677396,0.17859076177241734
2024-09-30_20-58-01_0002971,auto_accept,4,3280,3430,0.9826430082321167,0.8677996098995209,150,0,71,0.47333333333333333,31,0.46382283958816506,0.12366584280653978,0.5108395415289734,0.1201464792756042
2024-09-30_22-14-54_0003374,auto_accept,0,2300,2430,0.9652349352836609,0.885981947183609,130,0,56,0.4307692307692308,25,0.4832849600507255,0.1650009336996388,0.5206212400366896,0.11219776286302917
2024-09-30_22-14-54_0003374,auto_accept,1,2550,2650,0.9741953611373901,0.9338238672776655,100,0,30,0.3,20,0.47480124547231184,0.04594870467206086,0.5363403528121549,0.16712076459981506
2024-09-30_22-14-54_0003374,auto_accept,2,2780,3040,0.9992777705192566,0.9620650587258516,260,0,173,0.6653846153846154,69,0.385918937295153,0.06993145892883525,0.386011813512651,0.1595642934611922
2024-09-30_22-14-54_0003374,auto_accept,3,3160,3230,0.8043689727783203,0.7668739631772041,70,0,9,0.12857142857142856,3,0.5475137253922651,0.42996867863501187,0.5482103755772141,0.047343883483768986
2024-09-30_11-34-42_0000199,auto_accept,0,2290,2440,0.9546349048614502,0.8502168953418732,150,0,58,0.38666666666666666,12,0.5026353473675013,0.12445691447684872,0.5258111533077758,0.10146589489274045
2024-09-30_11-34-42_0000199,auto_accept,1,2550,2740,0.9722384810447693,0.8355383723974228,190,0,80,0.42105263157894735,19,0.4930598942498287,0.21066409578076126,0.5179461596069055,0.10113111245042664
2024-09-30_11-34-42_0000199,auto_accept,2,2850,3040,0.9723008275032043,0.8356143355369567,190,0,80,0.42105263157894735,19,0.4930898129309295,0.21066409578076126,0.5179461596069055,0.10113841430309121
2024-09-30_11-34-42_0000199,auto_accept,3,3070,3300,0.9998834133148193,0.8925246968865395,230,0,128,0.5565217391304348,101,0.34883517398762154,0.015569201543074155,0.4128007515186038,0.21982508015685476
2024-09-30_11-34-42_0000199,auto_accept,4,3350,3700,0.9999951124191284,0.9559899187750287,350,3,271,0.7809798270893372,192,0.2531385152838392,0.007813687481412574,0.17527967836864636,0.19103111192926728
2024-09-30_11-34-42_0000199,auto_accept,5,3770,4270,0.9999977350234985,0.9717954256955315,500,0,399,0.798,284,0.2226727197521509,0.0056907597995912084,0.1178154519612106,0.2102087196797806
2024-09-30_11-34-42_0000199,auto_accept,6,4390,4710,0.9996618032455444,0.9239376530502782,320,0,233,0.728125,198,0.2636660144384154,0.008044121762211075,0.18769840889594586,0.2242200938505219
