a,b,w2,p,exceeds_floor
m2fm3,m3fm2,1.6354386722634893,0.004975124378109453,False
m4fm1,m6fm6,1.6351629995922141,0.1044776119402985,False
m4fm4,m6fm6,1.6347931410538736,0.004975124378109453,False
m5fm5,m6fm6,1.634023533999571,0.004975124378109453,False
m4fm1,m5fm5,1.6334551550078065,0.004975124378109453,False
m3fm1,m6fm6,1.6331007824024193,0.004975124378109453,False
m3fm4,m4fm4,1.6294827831315395,0.004975124378109453,False
m2fm3,m4fm4,1.629090685913309,0.009950248756218905,False
m2fm2,m2fm4,1.6290427541978985,0.03980099502487562,False
m2fm1,m6fm6,1.6279654267391062,0.004975124378109453,False
m2fm2,m6fm6,1.6205294115311557,0.014925373134328358,False
m2fm3,m3fm3,1.6177793029211447,0.004975124378109453,False
m2fm4,m4fm4,1.6151748677905644,0.024875621890547265,False
m2fm2,m4fm1,1.6135688354608733,0.03482587064676617,False
m2fm3,m5fm5,1.612732291708005,0.004975124378109453,False
m3fm4,m4fm2,1.6109959136511194,0.004975124378109453,False
m2fm4,m3fm2,1.6109726275564464,0.10945273631840796,False
m2fm2,m4fm2,1.6076381241074507,0.004975124378109453,False
m1fm1,m2fm2,1.6072647405085287,0.004975124378109453,False
m4fm2,m6fm6,1.604390557248468,0.004975124378109453,False
m3fm2,m4fm1,1.6025677488270333,0.014925373134328358,False
m2fm1,m3fm1,1.6018905390791003,0.004975124378109453,False
m4fm1,m4fm2,1.6015643503173707,0.04975124378109453,False
m2fm1,m3fm4,1.6013981628926424,0.004975124378109453,False
m3fm2,m3fm4,1.5997884246216894,0.004975124378109453,False
m3fm2,m6fm6,1.5995659613732682,0.009950248756218905,False
m4fm3,m6fm6,1.5965078540508362,0.004975124378109453,False
m3fm3,m5fm5,1.595582414928763,0.004975124378109453,False
m1fm1,m3fm4,1.5928454663273335,0.004975124378109453,False
m2fm1,m3fm2,1.5916041330691977,0.014925373134328358,False
m2fm2,m3fm4,1.590154559643289,0.004975124378109453,False
m2fm2,m4fm3,1.5898963468262468,0.024875621890547265,False
m2fm1,m4fm2,1.5888316612168303,0.004975124378109453,False
m4fm1,m4fm4,1.5885340449766505,0.06467661691542288,False
m3fm4,m4fm3,1.5873579228876677,0.01990049751243781,False
m2fm1,m2fm2,1.5871126299052793,0.004975124378109453,False
m3fm2,m4fm2,1.5829719066642614,0.004975124378109453,False
m2fm2,m4fm4,1.5763364351299218,0.03482587064676617,False
m3fm2,m3fm3,1.575484933648865,0.009950248756218905,False
m3fm1,m3fm4,1.5753970171988525,0.004975124378109453,False
m4fm1,m4fm3,1.5731980281053437,0.4975124378109453,False
m3fm2,m4fm3,1.5712076631987806,0.024875621890547265,False
m3fm3,m4fm4,1.5699487743084093,0.029850746268656716,False
m2fm2,m3fm2,1.5690251357780867,0.263681592039801,False
m1fm1,m5fm5,1.5689918199491018,0.004975124378109453,False
m3fm4,m5fm5,1.5630973386273996,0.004975124378109453,False
m3fm2,m5fm5,1.5597862830596645,0.004975124378109453,False
m4fm4,m5fm5,1.5581063737730387,0.009950248756218905,False
m2fm1,m4fm4,1.554089774629749,0.029850746268656716,False
m3fm2,m4fm4,1.5519558991601894,0.03482587064676617,False
m2fm2,m3fm1,1.5516627696652965,0.19900497512437812,False
m2fm1,m5fm5,1.5464096433836667,0.009950248756218905,False
m2fm2,m5fm5,1.5436564836993911,0.024875621890547265,False
m2fm1,m4fm1,1.5412497698494303,0.46766169154228854,False
m4fm2,m5fm5,1.5318588647942446,0.004975124378109453,False
m4fm3,m4fm4,1.526496616871666,0.09950248756218906,False
m4fm2,m4fm4,1.5212222517815377,0.11442786069651742,False
m2fm1,m4fm3,1.5207712998466119,0.4975124378109453,False
m4fm2,m4fm3,1.5107727886932447,0.48756218905472637,False
m4fm3,m5fm5,1.507820763344306,0.03482587064676617,False
