make,model,year_from,year_to,engine_code,fuel_type,oil_filter_oem,oil_filter_mann,oil_filter_filtron,air_filter_oem,air_filter_mann,air_filter_filtron,cabin_filter_oem,cabin_filter_mann,cabin_filter_filtron,confidence,notes
Chevrolet,Cruze,2009,2016,F18D4,petrol,55594651,W 712/95,OP 641/2,13272717,C 25 056,AP 139/4,13271190,CUK 26 010,K 1311,HIGH,
Chevrolet,Aveo,2012,2020,F16D4,petrol,55594651,W 712/95,OP 641/2,96536696,C 22 020,AP 120/5,96449577,CUK 22 011,K 1350,MEDIUM,Air/cabin filters may vary by market
Chevrolet,Spark,2010,2018,B10D1,petrol,96570765,W 67/2,OP 575,96536696,C 22 020,AP 120/5,96449577,CU 22 011,K 1350,MEDIUM,
Chevrolet,Trax,2013,2020,F18D4,petrol,55594651,W 712/95,OP 641/2,13272717,C 25 056,AP 139/4,13271190,CUK 26 010,K 1311,MEDIUM,
Chevrolet,Captiva,2012,2018,Z22D1,diesel,96565412,HU 712/11 x,OE 649/5,96628890,C 27 003,AP 120/3,96554421,CUK 2141,K 1316A,MEDIUM,
MG,ZS,2018,2024,15S4G,petrol,10405642,W 811/80,OP 617,10405878,C 22 020,AP 120/5,10242940,CU 22 011,K 1350,LOW,OEM part numbers need verification
MG,HS,2019,2024,15E4E,petrol,10405642,W 811/80,OP 617,10405878,C 27 021,AP 177/7,10242940,CU 22 011,K 1350,LOW,
Porsche,Macan,2014,2024,CZPA,petrol,06L 115 562,HU 6013 z,OE 688/3,95B 129 620 A,C 30 030,AP 139/6,95B 819 631,CUK 2939,K 1350A,HIGH,VW Group filter family
Tesla,Model 3,2017,2024,,electric,,,,,,,,1107681-00-A,FP 25 015,,HIGH,EV - 2 cabin filters needed per change. MANN FP 25015 (Frecious Plus with carbon)
Tesla,Model Y,2020,2024,,electric,,,,,,,,1107681-00-A,FP 25 015,,HIGH,Same cabin filter as Model 3
BYD,Atto 3,2022,2024,,electric,,,,,,,,EM2E-8121211E,,,MEDIUM,No MANN equivalent confirmed yet. Aftermarket available
BYD,Dolphin,2023,2024,,electric,,,,,,,,EM2E-8121211E,,,MEDIUM,Same cabin filter as Atto 3
BYD,Seal,2023,2024,,electric,,,,,,,,SA2FC-8121211E,,,MEDIUM,Different from Atto 3/Dolphin
BYD,Han,2022,2024,,electric,,,,,,,,HN-8121211E-B2,,,LOW,OEM part number needs verification
Xpeng,G6,2023,2024,,electric,,,,,,,,XP-CF-G6,,,LOW,Generic OEM ref - actual part number unknown
Xpeng,P7,2022,2024,,electric,,,,,,,,XP-CF-P7,,,LOW,Generic OEM ref - actual part number unknown
Zeekr,001,2023,2024,,electric,,,,,,,,ZK-CF-001,,,LOW,Generic OEM ref - actual part number unknown
Zeekr,X,2024,2024,,electric,,,,,,,,ZK-CF-X,,,LOW,Generic OEM ref - actual part number unknown
GWM,Jolion,2021,2024,GW4B15A,petrol,1017100GG010,W 811/80,OP 617,1109120XKZ16A,C 27 021,AP 177/7,8104300XKZ36A,CU 22 011,K 1350,LOW,Chinese OEM numbers need verification
Lynk & Co,01,2020,2024,B4204T47,petrol,31372212,HU 711/51 x,OE 665/2,31370089,C 30 017,AP 035/5,31390880,CUK 2939,K 1350A,HIGH,Same as Volvo XC40
Omoda,C5,2023,2024,SQRE4T15C,petrol,E4T15-1012010,W 811/80,OP 617,E4T15-1109111,C 27 021,AP 177/7,T11-8107910,CU 22 011,K 1350,MEDIUM,Same as Chery Tiggo 4
Jaecoo,J7,2024,2024,SQRF4J16,petrol,F4J16-1012010,W 811/80,OP 617,F4J16-1109111,C 27 021,AP 177/7,T11-8107910,CU 22 011,K 1350,MEDIUM,Same as Chery Tiggo 7
