api_prefix,api_pattern,model,generation,years_approx,notes
RJ,starts_with,AMG GT,C192,2023-2024,
AF,starts_with,E-Class,W214,2024,New E-Class W214
EG,starts_with,E-Class,W214,2024,
GM,starts_with,E-Class,W214,2024,
CG,starts_with,CLE,C236,2024,New CLE Coupe
DM,starts_with,EQS,V297,2022-2024,Israeli code for EQS
LF,starts_with,E-Class,W213/W214,2016-2024,
L5,starts_with,E-Class,W213,2016-2024,
VK,starts_with,SL,R232,2022-2024,New SL
DA,starts_with,EQS SUV,X296,2022-2024,
DB,starts_with,EQS,V297,2022-2024,
D4,starts_with,EQS,V297,2022-2024,
FB0,starts_with,EQA,H243,2021-2024,Electric EQA - small variant
FB1,starts_with,EQA,H243,2021-2024,
FB2,starts_with,EQA,H243,2021-2024,
FB3,starts_with,EQA,H243,2021-2024,
FB4,starts_with,EQA,H243,2021-2024,EQA main code
FB5,starts_with,EQB,X243,2022-2024,Electric EQB
FB6,starts_with,EQB,X243,2022-2024,EQB variant
FB8,starts_with,EQB,X243,2022-2024,
FD0,starts_with,EQE,V295,2022-2024,Electric EQE early codes
FD2,starts_with,EQE,V295,2022-2024,
FD3,starts_with,EQE,V295,2022-2024,
FD4,starts_with,EQE,V295,2022-2024,
FD5,starts_with,EQE,V295,2022-2024,
FD6,starts_with,EQE,V295,2022-2024,EQE main code
FD8,starts_with,EQE SUV,X294,2023-2024,EQE SUV
FF2,starts_with,EQS,V297,2022-2024,Electric EQS early codes
FF3,starts_with,EQS,V297,2022-2024,
FF5,starts_with,EQS,V297,2022-2024,EQS main code
FF8,starts_with,EQS,V297,2022-2024,EQS variant
FJ,starts_with,EQS SUV,X296,2023-2024,EQS SUV
V,starts_with,Vito/V-Class,W447,2014-2024,Catches VITO readable names
XK,starts_with,EQE SUV,X294,2023-2024,
J8,starts_with,CLA,C118,2020-2024,CLA variant code
JK,starts_with,CLA,C118,2020-2024,
A,contains,A-Class,W168/W169,1998-2012,Catches "A 170 CDI" "A-160" etc.
C ,contains,C-Class,,1993-2024,Catches "C 200" "C 220" "C 240" readable
CLK,contains,CLK,,1997-2009,
CLE,contains,CLE,,2024,
E ,contains,E-Class,,1996-2024,Catches "E 230" "E 240" "E 320" readable
S ,contains,S-Class,,2005-2024,Catches "S 320" "S 500" readable
ML,contains,M-Class/GLE,,1998-2015,Catches "ML270" "ML320" "ML430"
SLK,contains,SLK,,2004-2020,
VITO,contains,Vito,,2003-2024,
11CH,starts_with,Unknown,,2000-2010,Legacy code - needs manual mapping
B4,starts_with,Unknown,,2020-2024,Unknown prefix
CLE450,starts_with,CLE,C236,2024,
245,starts_with,B-Class,W245,2005-2011,
163,starts_with,M-Class,W163,1998-2005,Old M-Class
312,starts_with,Sprinter/Vito,W639/W906,2003-2018,Commercial
6C,starts_with,GLC,X253,2016-2022,6C6K etc
DX,starts_with,E-Class,W214,2024,DX5F etc
C-,contains,C-Class,,1993-2024,Catches C-220 C-240 hyphenated
