api_prefix,api_pattern,series,body,generation,years_approx,notes
4S,starts_with,4 Series,,G22,2020-2024,
4T,starts_with,4 Series,,G22,2020-2024,
4V,starts_with,4 Series,,G22,2020-2024,
4W,starts_with,4 Series,,G22,2020-2024,
4Y,starts_with,4 Series,,G22,2020-2024,
4Z,starts_with,4 Series,,G22,2020-2024,
51,starts_with,5 Series,Sedan,G30/G60,2017-2024,
53,starts_with,5 Series,Touring,G31/G61,2017-2024,
55,starts_with,5 Series,Gran Turismo,G32,2017-2024,Becomes 6 Series GT
58,starts_with,5 Series,Long Wheelbase,G38,2017-2024,
5A,starts_with,5 Series,,G60,2023-2024,
5B,starts_with,5 Series,,G60,2023-2024,
5F,starts_with,5 Series,,G30,2017-2023,
5G,starts_with,5 Series,,G30,2017-2023,
5M,starts_with,5 Series,,G60,2023-2024,
5P,starts_with,5 Series,,G30/G60,2017-2024,
5R,starts_with,5 Series,,G30,2017-2023,
5U,starts_with,5 Series,,G60,2023-2024,
5X,starts_with,5 Series,,G30,2017-2023,
5Y,starts_with,5 Series,,G60,2023-2024,
61,starts_with,6 Series,Gran Turismo,G32,2017-2024,6 GT
63,starts_with,6 Series,Gran Coupe,F06/G32,2012-2024,
65,starts_with,6 Series,M6,F06M/F13M,2012-2019,
69,starts_with,XM,,G09,2022-2024,BMW XM
6A,starts_with,6 Series,,G32,2017-2024,
6B,starts_with,6 Series,,G32,2017-2024,
6D,starts_with,6 Series,,G32,2017-2024,
6E,starts_with,6 Series,,G32,2017-2024,
6F,starts_with,6 Series,,G32,2017-2024,
6G,starts_with,6 Series,,G32,2017-2024,
6H,starts_with,6 Series,,G32,2017-2024,
6J,starts_with,6 Series,,G32,2017-2024,
6N,starts_with,6 Series,,G32,2017-2024,
71,starts_with,7 Series,Sedan,G11/G70,2015-2024,
73,starts_with,7 Series,Long Wheelbase,G12/G71,2015-2024,
7A,starts_with,7 Series,,G70,2022-2024,
7B,starts_with,7 Series,,G70,2022-2024,
7D,starts_with,7 Series,,G11,2015-2022,
7E,starts_with,7 Series,,G11,2015-2022,
7F,starts_with,7 Series,,G11,2015-2022,
7H,starts_with,7 Series,,G70,2022-2024,
7J,starts_with,7 Series,,G70,2022-2024,
7K,starts_with,7 Series,,G70,2022-2024,
7L,starts_with,7 Series,,G11,2015-2022,
7R,starts_with,7 Series,,G70,2022-2024,
7T,starts_with,7 Series,,G70,2022-2024,
7U,starts_with,7 Series,,G70,2022-2024,
7W,starts_with,7 Series,,G70,2022-2024,
7X,starts_with,7 Series,,G70,2022-2024,
7Z,starts_with,7 Series,,G70,2022-2024,
81,starts_with,8 Series,Coupe,G14/G15,2018-2024,
83,starts_with,8 Series,Gran Coupe,G16,2019-2024,
8A,starts_with,8 Series,,G15,2018-2024,
8B,starts_with,8 Series,,G15,2018-2024,
8E,starts_with,8 Series,,G15,2018-2024,
8M,starts_with,8 Series,,G15,2018-2024,
8P,starts_with,8 Series,,G15,2018-2024,
8X,starts_with,8 Series,,G15,2018-2024,
JA,starts_with,X1,,F48,2016-2022,
JB,starts_with,X1,,F48,2016-2022,
JF,starts_with,X1,,U11,2023-2024,New gen X1
JG,starts_with,X1,,U11,2023-2024,
JH,starts_with,X1,,F48,2016-2022,
JP,starts_with,X1,,F48,2016-2022,
JS,starts_with,X1,,U11,2023-2024,
JU,starts_with,X1,,U11,2023-2024,
JZ,starts_with,X1,,U11,2023-2024,
KA,starts_with,X3,,G01,2018-2024,
KB,starts_with,X3,,G01,2018-2024,
KD,starts_with,X3,,G01,2018-2024,
KE,starts_with,X3,,G01,2018-2024,
KG,starts_with,X3,,G01,2018-2024,
KN,starts_with,X3,,G01,2018-2024,
KR,starts_with,X3,,G01,2018-2024,
KS,starts_with,X3,,G01,2018-2024,
KT,starts_with,X3,,G01,2018-2024,
KU,starts_with,X3,,G01,2018-2024,
KV,starts_with,X3,,G01,2018-2024,
KW,starts_with,X3,,G01,2018-2024,
LL,starts_with,X4,,G02,2018-2024,
LM,starts_with,X4,,G02,2018-2024,
LN,starts_with,X4,,G02,2018-2024,
LV,starts_with,X4,,G02,2018-2024,
LW,starts_with,X4,,G02,2018-2024,
LX,starts_with,X4,,G02,2018-2024,
LZ,starts_with,X4,,G02,2018-2024,
XD,starts_with,X5,,G05,2019-2024,
XG,starts_with,X5,,G05,2019-2024,
XM,starts_with,X5,,G05,2019-2024,
XN,starts_with,X5,,G05,2019-2024,
XP,starts_with,X5,,G05,2019-2024,
XR,starts_with,X5,,G05,2019-2024,
XS,starts_with,X5,,G05,2019-2024,
XU,starts_with,X5,,G05,2019-2024,
XW,starts_with,X5,,G05,2019-2024,
XX,starts_with,X5,,G05,2019-2024,
YA,starts_with,X6,,G06,2019-2024,
YE,starts_with,X6,,G06,2019-2024,
YG,starts_with,X6,,G06,2019-2024,
YH,starts_with,X6,,G06,2019-2024,
YK,starts_with,X6,,G06,2019-2024,
YN,starts_with,X6,,G06,2019-2024,
YP,starts_with,X6,,G06,2019-2024,
YS,starts_with,X6,,G06,2019-2024,
YU,starts_with,X6,,G06,2019-2024,
YV,starts_with,X6,,G06,2019-2024,
YW,starts_with,X6,,G06,2019-2024,
NA,starts_with,X2,,F39,2018-2024,
NB,starts_with,X2,,F39,2018-2024,
NC,starts_with,X2,,F39,2018-2024,
NE,starts_with,X2,,F39,2018-2024,
NT,starts_with,X2,,F39,2018-2024,
NU,starts_with,X2,,F39,2018-2024,
NW,starts_with,X2,,F39,2018-2024,
NX,starts_with,X2,,F39,2018-2024,
PA,starts_with,iX3,,G08,2020-2024,Electric iX3
PB,starts_with,iX3,,G08,2020-2024,
PC,starts_with,iX3,,G08,2020-2024,
PD,starts_with,iX3,,G08,2020-2024,
PF,starts_with,iX3,,G08,2020-2024,
PG,starts_with,iX3,,G08,2020-2024,
PH,starts_with,iX3,,G08,2020-2024,
PM,starts_with,iX,,i20,2021-2024,Electric iX
PX,starts_with,iX,,i20,2021-2024,
SA,starts_with,i4,,G26e,2021-2024,Electric i4
SN,starts_with,i4,,G26e,2021-2024,
SR,starts_with,i4,,G26e,2021-2024,
SS,starts_with,i4,,G26e,2021-2024,
SU,starts_with,i4,,G26e,2021-2024,
SV,starts_with,i4,,G26e,2021-2024,
SX,starts_with,i4,,G26e,2021-2024,
SY,starts_with,i4,,G26e,2021-2024,
RA,starts_with,i5,,G60e,2023-2024,Electric i5
RC,starts_with,i5,,G60e,2023-2024,
RE,starts_with,i5,,G60e,2023-2024,
RF,starts_with,i5,,G60e,2023-2024,
RH,starts_with,i5,,G60e,2023-2024,
TA,starts_with,i7,,G70e,2022-2024,Electric i7
TB,starts_with,i7,,G70e,2022-2024,
TC,starts_with,i7,,G70e,2022-2024,
TH,starts_with,i7,,G70e,2022-2024,
TR,starts_with,iX1,,U11e,2023-2024,Electric iX1
TS,starts_with,iX1,,U11e,2023-2024,
TX,starts_with,iX1,,U11e,2023-2024,
TY,starts_with,iX1,,U11e,2023-2024,
UA,starts_with,iX2,,U10e,2024,Electric iX2
UC,starts_with,iX2,,U10e,2024,
UD,starts_with,iX2,,U10e,2024,
UE,starts_with,iX2,,U10e,2024,
UF,starts_with,iX2,,U10e,2024,
UJ,starts_with,iX2,,U10e,2024,
UL,starts_with,i5 Touring,,G61e,2024,Electric i5 Touring
UN,starts_with,i5 Touring,,G61e,2024,
UR,starts_with,i5 Touring,,G61e,2024,
UZ,starts_with,iX2,,U10e,2024,
VA,starts_with,X1,,U11,2023-2024,X1 new variants
VB,starts_with,X1,,U11,2023-2024,
VC,starts_with,X1,,U11,2023-2024,
VG,starts_with,X2,,U10,2024,New X2
VH,starts_with,X2,,U10,2024,
VJ,starts_with,X2,,U10,2024,
VL,starts_with,X2,,U10,2024,
VM,starts_with,X2,,U10,2024,
VN,starts_with,X2,,U10,2024,
VP,starts_with,X2,,U10,2024,
WA,starts_with,X3,,G45,2024,New gen X3
WB,starts_with,X3,,G45,2024,
WD,starts_with,X3,,G45,2024,
WG,starts_with,X3,,G45,2024,
WH,starts_with,X3,,G45,2024,
WJ,starts_with,X3,,G45,2024,
WK,starts_with,X3,,G45,2024,
WL,starts_with,X3,,G45,2024,
WX,starts_with,X4,,G45,2024,New gen X4
WY,starts_with,X4,,G45,2024,
WZ,starts_with,X4,,G45,2024,
ZB,starts_with,X5,,G05,2019-2024,X5 additional variants
ZC,starts_with,X5,,G05,2019-2024,
ZN,starts_with,X6,,G06,2019-2024,
ZP,starts_with,X6,,G06,2019-2024,
ZV,starts_with,X7,,G07,2019-2024,
ZW,starts_with,X7,,G07,2019-2024,
316,contains,3 Series,,E36/E46,1990-2004,Old readable format
318,contains,3 Series,,E36/E46,1990-2004,
320,contains,3 Series,,E36/E46/E90,1990-2013,
323,contains,3 Series,,E36/E46,1995-2006,
325,contains,3 Series,,E46/E90,2001-2013,
328,contains,3 Series,,E36/E46/E90,1995-2013,
330,contains,3 Series,,E46/E90,2001-2013,
335,contains,3 Series,,E90/F30,2006-2018,
340,contains,3 Series,,F30,2015-2018,
520,contains,5 Series,,E39/E60,1996-2010,
523,contains,5 Series,,E39/E60,1996-2010,
525,contains,5 Series,,E39/E60,1996-2010,
528,contains,5 Series,,E39/E60,1996-2010,
530,contains,5 Series,,E60,2003-2010,
535,contains,5 Series,,E60/F10,2004-2016,
540,contains,5 Series,,E39/G30,1996-2024,
545,contains,5 Series,,E60,2004-2005,
550,contains,5 Series,,E60/F10,2005-2016,
630,contains,6 Series,,E63,2004-2011,
640,contains,6 Series,,F06/F12,2011-2018,
650,contains,6 Series,,F06/F12,2011-2018,
728,contains,7 Series,,E38,1994-2001,
730,contains,7 Series,,E38/E65,1994-2008,
735,contains,7 Series,,E38/E65,1994-2008,
740,contains,7 Series,,E38/E65/F01,1994-2015,
745,contains,7 Series,,E65,2001-2008,
750,contains,7 Series,,E38/E65/F01,1994-2015,
840,contains,8 Series,,G14/G15,2018-2024,
X1,contains,X1,,E84/F48/U11,2009-2024,Readable X models
X2,contains,X2,,F39/U10,2018-2024,
X3,contains,X3,,E83/F25/G01,2003-2024,
X4,contains,X4,,F26/G02,2014-2024,
X5,contains,X5,,E53/E70/F15/G05,2000-2024,
X6,contains,X6,,E71/F16/G06,2008-2024,
X7,contains,X7,,G07,2019-2024,
Z3,contains,Z3,,E36/7,1996-2002,
Z4,contains,Z4,,E85/E89/G29,2002-2024,
M3,contains,M3,,E36/E46/E90/F80/G80,1992-2024,
M4,contains,M4,,F82/G82,2014-2024,
M5,contains,M5,,E34/E39/E60/F10/G30,1988-2024,
i3,contains,i3,,I01,2013-2022,Electric
i4,contains,i4,,G26e,2021-2024,Electric
AL,starts_with,3 Series,,E36,1990-1999,Old E36 chassis codes
AM,starts_with,3 Series,,E36,1990-1999,
AE,starts_with,3 Series,,E90,2005-2012,E90 sedan codes
AV,starts_with,3 Series,,E90,2005-2012,
AY,starts_with,3 Series,,E90,2005-2012,
BE,starts_with,3 Series,,E36,1990-1999,E36 coupe
BF,starts_with,3 Series,,E36,1990-1999,
BG,starts_with,3 Series,,E36,1990-1999,
BH,starts_with,3 Series,,E36,1990-1999,E36 convertible
BJ,starts_with,3 Series,,E36,1990-1999,
BK,starts_with,3 Series,,E36,1990-1999,
BL,starts_with,3 Series,,E46,1998-2006,E46 coupe
BM,starts_with,3 Series,,E46,1998-2006,
BN,starts_with,3 Series,,E46,1998-2006,
BP,starts_with,3 Series,,E46,1998-2006,
BR,starts_with,3 Series,,E46,1998-2006,
BS,starts_with,3 Series,,E46,1998-2006,
BT,starts_with,3 Series,,E46,1998-2006,
BU,starts_with,3 Series,,E46,1998-2006,
BV,starts_with,3 Series,,E46,1998-2006,
BW,starts_with,3 Series,,E46,1998-2006,
BX,starts_with,3 Series,,E46,1998-2006,
BY,starts_with,3 Series,,E46,1998-2006,
CA,starts_with,3 Series,,E46,1998-2006,E46 sedan
CB,starts_with,3 Series,,E46,1998-2006,
CD,starts_with,3 Series,,E46,1998-2006,
CG,starts_with,3 Series,,E46,1998-2006,
CH,starts_with,Z3,,E36/7,1996-2002,Z3 chassis
CJ,starts_with,Z3,,E36/7,1996-2002,
CL,starts_with,Z3,,E36/7,1996-2002,
CM,starts_with,Z3,,E36/7,1996-2002,
CN,starts_with,Z4,,E85,2002-2008,Z4 E85
CR,starts_with,Z4,,E89,2009-2016,Z4 E89
CS,starts_with,Z4,,G29,2019-2024,Z4 G29
CV,starts_with,Z4,,G29,2019-2024,
CW,starts_with,Z4,,G29,2019-2024,
CX,starts_with,Z4,,G29,2019-2024,
CY,starts_with,Z4,,G29,2019-2024,
DD,starts_with,5 Series,,E39,1996-2003,E39 sedan
DE,starts_with,5 Series,,E39,1996-2003,
DH,starts_with,5 Series,,E60,2003-2010,E60 sedan
DK,starts_with,5 Series,,E60,2003-2010,
DL,starts_with,5 Series,,E60,2003-2010,
DM,starts_with,5 Series,,E60/F10,2003-2016,
DN,starts_with,5 Series,,E60/F10,2003-2016,
DP,starts_with,5 Series,,F10,2010-2016,
DT,starts_with,5 Series,,F10,2010-2016,
DU,starts_with,5 Series,,F10,2010-2016,
DV,starts_with,5 Series,,F10,2010-2016,
DW,starts_with,5 Series,,F10,2010-2016,
DX,starts_with,5 Series,,F10,2010-2016,
DZ,starts_with,5 Series,,G30,2017-2023,G30 sedan
EA,starts_with,5 Series,,G30,2017-2023,
EB,starts_with,5 Series,,G30,2017-2023,
EH,starts_with,5 Series,,G30,2017-2023,
EK,starts_with,5 Series,,G30,2017-2023,
EV,starts_with,5 Series,,G30,2017-2023,
EY,starts_with,5 Series,,G30,2017-2023,
FA,starts_with,X5,,E53,2000-2006,E53 X5
FB,starts_with,X5,,E53,2000-2006,
FE,starts_with,X5,,E70,2007-2013,E70 X5
FF,starts_with,X5,,E70/F15,2007-2018,
FG,starts_with,X5,,F15,2014-2018,F15 X5
FH,starts_with,X5,,F15,2014-2018,
FP,starts_with,X5,,F15,2014-2018,
FR,starts_with,X5,,F15,2014-2018,
FV,starts_with,X5,,F15,2014-2018,
FW,starts_with,X5,,F15,2014-2018,
FY,starts_with,X5,,F15,2014-2018,
GE,starts_with,7 Series,,E38,1994-2001,E38 7-Series
GF,starts_with,7 Series,,E38,1994-2001,
GG,starts_with,7 Series,,E38/E65,1994-2008,
GH,starts_with,7 Series,,E38,1994-2001,
GJ,starts_with,7 Series,,E38,1994-2001,
GK,starts_with,7 Series,,E38,1994-2001,
GL,starts_with,7 Series,,E65,2001-2008,E65 7-Series
GM,starts_with,7 Series,,E65,2001-2008,
GN,starts_with,7 Series,,E65/F01,2001-2015,
GP,starts_with,7 Series,,F01,2008-2015,F01 7-Series
GT,starts_with,7 Series,,F01,2008-2015,
GV,starts_with,7 Series,,G11,2015-2022,G11 7-Series
HF,starts_with,X3,,F25,2011-2017,F25 X3
HL,starts_with,X3,,G01,2018-2024,G01 X3
HN,starts_with,X3,,G01,2018-2024,
HS,starts_with,X3,,G01,2018-2024,
HU,starts_with,X3,,G01,2018-2024,
IB,starts_with,X4,,F26,2014-2018,F26 X4
IN,starts_with,X4,,G02,2018-2024,G02 X4
MF,starts_with,X4,,G02,2018-2024,
ML,starts_with,X4,,G02,2018-2024,
MR,starts_with,X4,,G02,2018-2024,
MS,starts_with,X4,,G02,2018-2024,
MU,starts_with,X4,,G02,2018-2024,
AP,starts_with,3 Series,,E90,2005-2012,E90 sedan additional codes
AR,starts_with,3 Series,,E90,2005-2012,
AS,starts_with,3 Series,,E90,2005-2012,
AT,starts_with,3 Series,,E90,2005-2012,
AU,starts_with,3 Series,,E90,2005-2012,
BC,starts_with,3 Series,,E46,1998-2006,E46 convertible codes
BD,starts_with,3 Series,,E46,1998-2006,
GA,starts_with,7 Series,,E65,2001-2008,E65 7-Series additional
