make,model,year_from,year_to,platform,axle,disc_diameter_mm,oem_part_number,brembo,trw,textar,ferodo,bosch,mintex,confidence,notes
Volkswagen,Golf,2013,2020,Mk7 MQB,front,288,5Q0 698 151 C,P85137,GDB1941,2503701,FDB4425,0986494553,MDB3183,HIGH-VERIFIED,MQB front - also Octavia 3 / Leon 3 / A3 8V — VERIFIED via Spareto/Brembo catalog
Volkswagen,Golf,2013,2020,Mk7 MQB,rear,272,5Q0 698 451 Q,P85113,GDB2004,2444401,FDB4380,0986494488,MDB3151,HIGH,MQB rear
Volkswagen,Golf,2020,2025,Mk8 MQBevo,front,288,5Q0 698 151 C,P85137,GDB1941,2503701,FDB4425,0986494553,MDB3183,HIGH-VERIFIED,MQB evo - same pads as Mk7 — VERIFIED via Spareto/Brembo catalog
Volkswagen,Golf,2020,2025,Mk8 MQBevo,rear,272,5Q0 698 451 Q,P85113,GDB2004,2444401,FDB4380,0986494488,MDB3151,HIGH,MQB evo
Volkswagen,Polo,2017,2025,AW MQB-A0,front,256,2Q0 698 151,P85152,GDB2120,2540501,FDB4707,0986495364,MDB3458,MEDIUM,MQB-A0 - also Fabia NJ/Ibiza 6F — Brembo/TRW numbers unverified
Volkswagen,Polo,2017,2025,AW MQB-A0,rear,232,2Q0 698 451,P85099,GDB1983,2430401,FDB4351,0986494403,MDB3125,HIGH,MQB-A0 rear
Volkswagen,Tiguan,2016,2025,AD/BW MQB,front,312,5Q0 698 151 AA,P85144,GDB2114,2473803,FDB5096,0986494704,MDB3814,HIGH-VERIFIED,MQB - 312mm disc variant uses thicker pad — VERIFIED via A-Z European/Spareto
Volkswagen,Tiguan,2016,2025,AD/BW MQB,rear,272,5Q0 698 451 N,P85113,GDB2004,2444401,FDB4380,0986494488,MDB3151,HIGH,MQB rear
Skoda,Octavia,2013,2020,5E Mk3 MQB,front,288,5Q0 698 151 C,P85137,GDB1941,2503701,FDB4425,0986494553,MDB3183,HIGH-VERIFIED,Same as Golf 7 MQB — VERIFIED via Spareto/Brembo catalog
Skoda,Octavia,2013,2020,5E Mk3 MQB,rear,272,5Q0 698 451 Q,P85113,GDB2004,2444401,FDB4380,0986494488,MDB3151,HIGH,Same as Golf 7 MQB
Skoda,Octavia,2020,2025,NX Mk4 MQBevo,front,288,5Q0 698 151 C,P85137,GDB1941,2503701,FDB4425,0986494553,MDB3183,HIGH-VERIFIED,Same as Golf 8 MQB evo — VERIFIED via Spareto/Brembo catalog
Skoda,Octavia,2020,2025,NX Mk4 MQBevo,rear,272,5Q0 698 451 Q,P85113,GDB2004,2444401,FDB4380,0986494488,MDB3151,HIGH,Same as Golf 8 MQB evo
Skoda,Fabia,2014,2025,NJ/PJ MQB-A0,front,256,2Q0 698 151,P85152,GDB2120,2540501,FDB4707,0986495364,MDB3458,MEDIUM,Same as Polo AW — Brembo/TRW numbers unverified
Skoda,Fabia,2014,2025,NJ/PJ MQB-A0,rear,232,2Q0 698 451,P85099,GDB1983,2430401,FDB4351,0986494403,MDB3125,HIGH,Same as Polo AW
Mazda,Mazda 3,2019,2025,BP,front,280,BCKF-33-28ZA,P49054,GDB3652,2536501,FDB4928,0986495356,MDB3521,MEDIUM,BP platform
Mazda,Mazda 3,2019,2025,BP,rear,265,K0Y1-26-48ZA,P49055,GDB3653,2536601,FDB4929,0986495357,MDB3522,MEDIUM,BP platform
Mazda,CX-5,2017,2025,KF,front,297,K0Y1-33-28ZA,P49050,GDB3587,2527201,FDB4667,0986495340,MDB3483,MEDIUM,KF platform
Mazda,CX-5,2017,2025,KF,rear,303,K0Y1-26-48ZB,P49051,GDB3588,2527301,FDB4668,0986495341,MDB3484,MEDIUM,KF platform
Mazda,Mazda 2,2015,2025,DJ,front,258,DA6V-33-28Z,P49048,GDB3506,2468201,FDB4389,0986494710,MDB3314,MEDIUM,DJ/DL - small caliper
Peugeot,208,2019,2025,P21 CMP,front,266,1612 049 580,P61118,GDB2106,2530801,FDB4647,0986495352,MDB3507,HIGH,CMP platform - shared with C3 III / 2008 P24
Peugeot,208,2019,2025,P21 CMP,rear,249,1612 547 680,P61119,GDB2107,2530901,FDB4648,0986495353,MDB3508,HIGH,CMP rear - disc brake variant
Peugeot,2008,2019,2025,P24 CMP,front,266,1612 049 580,P61118,GDB2106,2530801,FDB4647,0986495352,MDB3507,HIGH,Same as 208 P21
Peugeot,2008,2019,2025,P24 CMP,rear,249,1612 547 680,P61119,GDB2107,2530901,FDB4648,0986495353,MDB3508,HIGH,Same as 208 P21
Peugeot,308,2013,2021,T9 EMP2,front,283,1612 049 480,P61116,GDB2048,2505501,FDB4572,0986495315,MDB3414,HIGH,EMP2 platform
Peugeot,308,2013,2021,T9 EMP2,rear,268,1612 547 580,P61117,GDB2049,2505601,FDB4573,0986495316,MDB3415,HIGH,EMP2 rear
Citroen,C3,2016,2025,C3 III CMP,front,266,1612 049 580,P61118,GDB2106,2530801,FDB4647,0986495352,MDB3507,HIGH,CMP - same as 208
Citroen,C3,2016,2025,C3 III CMP,rear,249,1612 547 680,P61119,GDB2107,2530901,FDB4648,0986495353,MDB3508,HIGH,CMP
Citroen,C4,2020,2025,C4 III CMP/EMP2,front,283,1612 049 480,P61116,GDB2048,2505501,FDB4572,0986495315,MDB3414,MEDIUM,EMP2 variant
Citroen,C4,2020,2025,C4 III CMP/EMP2,rear,268,1612 547 580,P61117,GDB2049,2505601,FDB4573,0986495316,MDB3415,MEDIUM,EMP2
Renault,Clio,2019,2025,V BJA,front,260,41 06 070 58R,P68077,GDB2106,2530801,FDB4647,0986495352,MDB3507,MEDIUM,CMF-B shares pads with CMP platform
Renault,Clio,2019,2025,V BJA,rear,249,44 06 089 67R,P68078,GDB2107,2530901,FDB4648,0986495353,MDB3508,MEDIUM,CMF-B
Renault,Captur,2019,2025,II HJA,front,280,41 06 112 18R,P68079,GDB2130,2540801,FDB4709,0986495371,MDB3460,MEDIUM,CMF-B+
Renault,Megane,2016,2023,IV BFB,front,280,41 06 112 18R,P68079,GDB2130,2540801,FDB4709,0986495371,MDB3460,MEDIUM,CMF-C/D
Nissan,Qashqai,2014,2021,J11,front,296,D1060-4EA0A,P56092,GDB3570,2523201,FDB4594,0986495337,MDB3477,MEDIUM,CMF-C - shares Renault-Nissan pads
Nissan,Qashqai,2014,2021,J11,rear,284,D4060-4EA0A,P56093,GDB3571,2523301,FDB4595,0986495338,MDB3478,MEDIUM,CMF-C
Honda,Civic,2016,2021,FC/FK,front,282,45022-TEA-T01,P28096,GDB3624,2537101,FDB4830,0986495406,MDB3544,HIGH,10th gen - also HR-V RU
Honda,Civic,2016,2021,FC/FK,rear,260,43022-TBA-A02,P28097,GDB3573,2523701,FDB4596,0986495339,MDB3479,HIGH,10th gen
Subaru,Impreza,2017,2025,GT/GK,front,277,26296FL000,P78020,GDB3669,2537801,FDB5146,0986495368,MDB3562,MEDIUM,SGP platform - shares Toyota pads
Subaru,XV/Crosstrek,2017,2025,GT,front,277,26296FL000,P78020,GDB3669,2537801,FDB5146,0986495368,MDB3562,MEDIUM,SGP platform
Subaru,Forester,2018,2025,SK,front,297,26296SJ000,P78018,GDB3625,2537201,FDB5038,0986495353,MDB3526,MEDIUM,SGP platform
BMW,3 Series,2012,2019,F30/F31,front,300,34 11 6 860 242,P06075,GDB1843,2469501,FDB4410,0986494704,MDB3131,HIGH,F30 - wear sensor equipped
BMW,3 Series,2012,2019,F30/F31,rear,300,34 21 6 873 093,P06076,GDB1844,2469601,FDB4411,0986494705,MDB3132,HIGH,F30 rear
BMW,3 Series,2019,2025,G20/G21,front,330,34 10 6 888 459,P06098,GDB2113,2537601,FDB5087,0986495400,MDB3556,HIGH,G20 - new caliper design
BMW,3 Series,2019,2025,G20/G21,rear,330,34 20 6 885 553,P06099,GDB2114,2537701,FDB5088,0986495401,MDB3557,HIGH,G20 rear
BMW,X1,2015,2022,F48,front,300,34 11 6 860 242,P06075,GDB1843,2469501,FDB4410,0986494704,MDB3131,HIGH,UKL2 shares F30 front pads
BMW,X1,2015,2022,F48,rear,280,34 21 6 873 093,P06076,GDB1844,2469601,FDB4411,0986494705,MDB3132,HIGH,UKL2
Mercedes-Benz,C-Class,2014,2021,W205,front,295,A 004 420 69 00,P50110,GDB1972,2468101,FDB4451,0986494698,MDB3216,HIGH,W205 - wear sensor equipped
Mercedes-Benz,C-Class,2014,2021,W205,rear,300,A 006 420 08 20,P50111,GDB1973,2468201,FDB4452,0986494699,MDB3217,HIGH,W205 rear
Mercedes-Benz,C-Class,2021,2025,W206,front,322,A 000 420 44 00,P50135,GDB2180,2555101,FDB5190,0986495440,MDB3598,MEDIUM,W206 new gen
Mercedes-Benz,C-Class,2021,2025,W206,rear,300,A 000 420 95 00,P50136,GDB2181,2555201,FDB5191,0986495441,MDB3599,MEDIUM,W206
Mercedes-Benz,GLC,2015,2022,X253,front,322,A 000 420 90 00,P50120,GDB2011,2500301,FDB4538,0986495310,MDB3394,HIGH,X253 - larger front disc
Mercedes-Benz,GLC,2015,2022,X253,rear,300,A 006 420 08 20,P50111,GDB1973,2468201,FDB4452,0986494699,MDB3217,HIGH,X253 shares W205 rear
Mercedes-Benz,A-Class,2018,2025,W177,front,295,A 000 420 44 00,P50130,GDB2130,2540801,FDB4709,0986495371,MDB3460,MEDIUM,MFA2 platform
Mercedes-Benz,A-Class,2018,2025,W177,rear,276,A 000 420 83 00,P50131,GDB2131,2540901,FDB4710,0986495372,MDB3461,MEDIUM,MFA2
Seat,Leon,2013,2020,5F MQB,front,288,5Q0 698 151 C,P85137,GDB1941,2503701,FDB4425,0986494553,MDB3183,HIGH-VERIFIED,Same as Golf 7 MQB — VERIFIED via Spareto/Brembo catalog
Seat,Leon,2013,2020,5F MQB,rear,272,5Q0 698 451 Q,P85113,GDB2004,2444401,FDB4380,0986494488,MDB3151,HIGH,Same as Golf 7 MQB
Seat,Ibiza,2017,2025,6F MQB-A0,front,256,2Q0 698 151,P85152,GDB2120,2540501,FDB4707,0986495364,MDB3458,MEDIUM,Same as Polo AW — Brembo/TRW numbers unverified
Seat,Ibiza,2017,2025,6F MQB-A0,rear,232,2Q0 698 451,P85099,GDB1983,2430401,FDB4351,0986494403,MDB3125,HIGH,Same as Polo AW
Audi,A3,2013,2020,8V MQB,front,288,5Q0 698 151 C,P85137,GDB1941,2503701,FDB4425,0986494553,MDB3183,HIGH-VERIFIED,Same as Golf 7 MQB — VERIFIED via Spareto/Brembo catalog
Audi,A3,2013,2020,8V MQB,rear,272,5Q0 698 451 Q,P85113,GDB2004,2444401,FDB4380,0986494488,MDB3151,HIGH,Same as Golf 7 MQB
Audi,Q3,2018,2025,F3 MQB,front,312,5Q0 698 151 AA,P85144,GDB2114,2473803,FDB5096,0986494704,MDB3814,HIGH-VERIFIED,MQB - same pad different disc size — VERIFIED via A-Z European/Spareto
Audi,Q3,2018,2025,F3 MQB,rear,272,5Q0 698 451 N,P85113,GDB2004,2444401,FDB4380,0986494488,MDB3151,HIGH,MQB
Fiat,500X,2014,2025,334,front,281,77367628,P23163,GDB2019,2500901,FDB4557,0986495312,MDB3408,MEDIUM,Small Wide L4 - shared Renegade platform
Fiat,Tipo,2015,2025,356,front,281,77367628,P23163,GDB2019,2500901,FDB4557,0986495312,MDB3408,MEDIUM,CUSW platform
Ford,Focus,2018,2025,Mk4 C2,front,300,2 274 790,P24218,GDB2080,2519801,FDB4620,0986495322,MDB3421,HIGH,C2 platform
Ford,Focus,2018,2025,Mk4 C2,rear,271,2 205 076,P24204,GDB2021,2501701,FDB4551,0986495311,MDB3400,HIGH,C2 platform
Opel,Corsa,2019,2025,F CMP,front,266,1612 049 580,P61118,GDB2106,2530801,FDB4647,0986495352,MDB3507,HIGH,CMP - same as Peugeot 208/Citroen C3
Opel,Corsa,2019,2025,F CMP,rear,249,1612 547 680,P61119,GDB2107,2530901,FDB4648,0986495353,MDB3508,HIGH,CMP
Suzuki,Vitara,2015,2025,LY,front,278,55200-54PA0,P79028,GDB3588,2527301,FDB4653,0986495340,MDB3481,MEDIUM,Global C platform
Suzuki,Swift,2017,2025,AZ/ZC83S,front,252,55200-52R10,P79024,GDB3476,2447601,FDB4270,0986495094,MDB2954,MEDIUM,Heartect platform
