candidate_id,label,model_probability,disagreement,spectrogram_path
2024-09-30_11-20-53_0000032_00002900,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-53_0000032_00002900.png
2024-09-30_11-21-07_0000035_00003422,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-21-07_0000035_00003422.png
2024-09-30_11-18-17_0000001_00003662,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-17_0000001_00003662.png
2024-09-30_11-19-19_0000012_00005958,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-19_0000012_00005958.png
2024-09-30_11-18-34_0000004_00002632,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-34_0000004_00002632.png
2024-09-30_11-21-22_0000038_00000890,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-21-22_0000038_00000890.png
2024-09-30_11-20-14_0000022_00002256,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-14_0000022_00002256.png
2024-09-30_11-20-07_0000020_00001790,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-07_0000020_00001790.png
2024-09-30_11-20-14_0000022_00004596,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-14_0000022_00004596.png
2024-09-30_11-20-48_0000031_00002019,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-48_0000031_00002019.png
2024-09-30_11-18-17_0000001_00003799,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-17_0000001_00003799.png
2024-09-30_11-20-53_0000032_00002557,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-53_0000032_00002557.png
2024-09-30_11-20-03_0000019_00001260,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-03_0000019_00001260.png
2024-09-30_11-20-07_0000020_00001449,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-07_0000020_00001449.png
2024-09-30_11-20-03_0000019_00001132,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-03_0000019_00001132.png
2024-09-30_11-18-34_0000004_00003019,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-34_0000004_00003019.png
2024-09-30_11-19-34_0000014_00003932,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-34_0000014_00003932.png
2024-09-30_11-19-34_0000014_00003235,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-34_0000014_00003235.png
2024-09-30_11-20-32_0000025_00000904,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-32_0000025_00000904.png
2024-09-30_11-19-19_0000012_00002749,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-19_0000012_00002749.png
2024-09-30_11-20-38_0000028_00002112,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-38_0000028_00002112.png
2024-09-30_11-19-00_0000007_00004433,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-00_0000007_00004433.png
2024-09-30_11-20-03_0000019_00002076,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-03_0000019_00002076.png
2024-09-30_11-19-34_0000014_00004032,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-34_0000014_00004032.png
2024-09-30_11-20-53_0000032_00002252,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-53_0000032_00002252.png
2024-09-30_11-19-16_0000011_00001021,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-16_0000011_00001021.png
2024-09-30_11-21-24_0000039_00001196,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-21-24_0000039_00001196.png
2024-09-30_11-19-38_0000015_00008044,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-38_0000015_00008044.png
2024-09-30_11-20-53_0000032_00002444,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-53_0000032_00002444.png
2024-09-30_11-19-34_0000014_00003837,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-34_0000014_00003837.png
2024-09-30_11-18-17_0000001_00005332,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-17_0000001_00005332.png
2024-09-30_11-20-03_0000019_00001387,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-03_0000019_00001387.png
2024-09-30_11-19-00_0000007_00005775,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-00_0000007_00005775.png
2024-09-30_11-18-34_0000004_00004481,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-34_0000004_00004481.png
2024-09-30_11-21-07_0000035_00003213,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-21-07_0000035_00003213.png
2024-09-30_11-19-16_0000011_00001634,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-16_0000011_00001634.png
2024-09-30_11-18-17_0000001_00005004,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-17_0000001_00005004.png
2024-09-30_11-21-40_0000044_00001748,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-21-40_0000044_00001748.png
2024-09-30_11-20-14_0000022_00003053,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-14_0000022_00003053.png
2024-09-30_11-19-38_0000015_00000046,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-38_0000015_00000046.png
2024-09-30_11-18-34_0000004_00003119,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-34_0000004_00003119.png
2024-09-30_11-20-26_0000023_00000087,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-26_0000023_00000087.png
2024-09-30_11-18-17_0000001_00004192,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-17_0000001_00004192.png
2024-09-30_11-21-40_0000044_00000995,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-21-40_0000044_00000995.png
2024-09-30_11-20-26_0000023_00001175,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-26_0000023_00001175.png
2024-09-30_11-18-34_0000004_00001432,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-34_0000004_00001432.png
2024-09-30_11-21-07_0000035_00004448,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-21-07_0000035_00004448.png
2024-09-30_11-19-34_0000014_00002913,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-34_0000014_00002913.png
2024-09-30_11-19-58_0000018_00002045,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-58_0000018_00002045.png
2024-09-30_11-19-19_0000012_00006262,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-19_0000012_00006262.png
2024-09-30_11-19-19_0000012_00001958,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-19_0000012_00001958.png
2024-09-30_11-19-38_0000015_00007219,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-38_0000015_00007219.png
2024-09-30_11-18-17_0000001_00005119,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-17_0000001_00005119.png
2024-09-30_11-20-38_0000028_00000936,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-38_0000028_00000936.png
2024-09-30_11-20-03_0000019_00001007,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-03_0000019_00001007.png
2024-09-30_11-18-34_0000004_00007085,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-34_0000004_00007085.png
2024-09-30_11-21-26_0000040_00000823,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-21-26_0000040_00000823.png
2024-09-30_11-21-40_0000044_00001962,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-21-40_0000044_00001962.png
2024-09-30_11-19-38_0000015_00008618,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-38_0000015_00008618.png
2024-09-30_11-19-38_0000015_00007010,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-38_0000015_00007010.png
2024-09-30_11-19-38_0000015_00012275,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-38_0000015_00012275.png
2024-09-30_11-19-19_0000012_00002066,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-19_0000012_00002066.png
2024-09-30_11-20-38_0000028_00001034,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-38_0000028_00001034.png
2024-09-30_11-20-14_0000022_00012718,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-14_0000022_00012718.png
2024-09-30_11-19-19_0000012_00004084,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-19_0000012_00004084.png
2024-09-30_11-19-38_0000015_00007102,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-38_0000015_00007102.png
2024-09-30_11-19-34_0000014_00002333,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-34_0000014_00002333.png
2024-09-30_11-18-34_0000004_00008151,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-34_0000004_00008151.png
2024-09-30_11-19-15_0000010_00001326,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-15_0000010_00001326.png
2024-09-30_11-20-14_0000022_00002642,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-14_0000022_00002642.png
2024-09-30_11-19-19_0000012_00006165,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-19_0000012_00006165.png
2024-09-30_11-20-38_0000028_00002439,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-38_0000028_00002439.png
2024-09-30_11-19-00_0000007_00003943,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-00_0000007_00003943.png
2024-09-30_11-18-17_0000001_00004893,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-17_0000001_00004893.png
2024-09-30_11-19-34_0000014_00004826,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-34_0000014_00004826.png
2024-09-30_11-19-19_0000012_00001553,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-19_0000012_00001553.png
2024-09-30_11-21-01_0000034_00002177,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-21-01_0000034_00002177.png
2024-09-30_11-19-19_0000012_00001247,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-19_0000012_00001247.png
2024-09-30_11-21-07_0000035_00004837,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-21-07_0000035_00004837.png
2024-09-30_11-19-19_0000012_00001843,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-19_0000012_00001843.png
2024-09-30_11-18-52_0000005_00002123,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-52_0000005_00002123.png
2024-09-30_11-19-09_0000008_00001861,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-09_0000008_00001861.png
2024-09-30_11-20-53_0000032_00003014,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-53_0000032_00003014.png
2024-09-30_11-19-34_0000014_00002513,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-34_0000014_00002513.png
2024-09-30_11-20-53_0000032_00002787,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-53_0000032_00002787.png
2024-09-30_11-19-38_0000015_00007431,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-38_0000015_00007431.png
2024-09-30_11-21-01_0000034_00001976,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-21-01_0000034_00001976.png
2024-09-30_11-21-07_0000035_00004957,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-21-07_0000035_00004957.png
2024-09-30_11-19-34_0000014_00003721,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-34_0000014_00003721.png
2024-09-30_11-18-17_0000001_00003075,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-17_0000001_00003075.png
2024-09-30_11-18-34_0000004_00001546,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-34_0000004_00001546.png
2024-09-30_11-20-14_0000022_00007898,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-14_0000022_00007898.png
2024-09-30_11-21-01_0000034_00003514,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-21-01_0000034_00003514.png
2024-09-30_11-20-34_0000026_00001472,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-34_0000026_00001472.png
2024-09-30_11-18-17_0000001_00004648,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-17_0000001_00004648.png
2024-09-30_11-19-34_0000014_00003335,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-34_0000014_00003335.png
2024-09-30_11-19-19_0000012_00003446,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-19_0000012_00003446.png
2024-09-30_11-21-01_0000034_00001676,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-21-01_0000034_00001676.png
2024-09-30_11-19-34_0000014_00001938,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-34_0000014_00001938.png
2024-09-30_11-19-16_0000011_00002056,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-16_0000011_00002056.png
2024-09-30_11-19-00_0000007_00003824,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-00_0000007_00003824.png
2024-09-30_11-19-38_0000015_00007932,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-38_0000015_00007932.png
2024-09-30_11-19-15_0000010_00001198,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-15_0000010_00001198.png
2024-09-30_11-19-38_0000015_00012064,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-38_0000015_00012064.png
2024-09-30_11-18-17_0000001_00004305,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-17_0000001_00004305.png
2024-09-30_11-19-55_0000017_00001716,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-55_0000017_00001716.png
2024-09-30_11-18-17_0000001_00004535,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-17_0000001_00004535.png
2024-09-30_11-19-38_0000015_00008146,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-38_0000015_00008146.png
2024-09-30_11-19-38_0000015_00011841,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-38_0000015_00011841.png
2024-09-30_11-20-14_0000022_00006705,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-14_0000022_00006705.png
2024-09-30_11-18-17_0000001_00002828,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-17_0000001_00002828.png
2024-09-30_11-18-17_0000001_00002766,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-17_0000001_00002766.png
2024-09-30_11-19-34_0000014_00001620,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-34_0000014_00001620.png
2024-09-30_11-19-38_0000015_00011954,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-38_0000015_00011954.png
