ngram,ngram_codes,n,observed,expected,z_score,p_value
Short → Short → Up → Up → Up,"(3, 3, 6, 6, 6)",5,1,0.0,9.95,0.0
Up → Up → Up,"(6, 6, 6)",3,6,0.3,9.47,0.0
Short → Short → Short → Short,"(3, 3, 3, 3)",4,12,1.2,8.71,0.0
Down → Complex → Chevron → Up,"(1, 4, 2, 6)",4,1,0.0,8.1,2.220446049250313e-16
Up → Short → Frequency_Jump → Short,"(6, 3, 5, 3)",4,1,0.0,8.1,2.220446049250313e-16
Short → Short → Flat → Down → Short,"(3, 3, 0, 1, 3)",5,1,0.0,8.1,2.220446049250313e-16
Down → Complex → Down,"(1, 4, 1)",3,1,0.0,7.0,1.2798651027878805e-12
Up → Down → Flat → Chevron,"(6, 1, 0, 2)",4,1,0.0,7.0,1.2798651027878805e-12
Flat → Down → Up → Up,"(0, 1, 6, 6)",4,1,0.0,7.0,1.2798651027878805e-12
Flat → Down → Chevron → Chevron,"(0, 1, 2, 2)",4,1,0.0,7.0,1.2798651027878805e-12
Down → Short → Up → Short → Flat,"(1, 3, 6, 3, 0)",5,1,0.0,7.0,1.2798651027878805e-12
Short → Up → Chevron → Flat → Flat,"(3, 6, 2, 0, 0)",5,1,0.0,7.0,1.2798651027878805e-12
Up → Up → Up → Short,"(6, 6, 6, 3)",4,2,0.1,6.64,1.5635381878098542e-11
Up → Short → Down → Chevron,"(6, 3, 1, 2)",4,1,0.0,6.24,2.119027175950805e-10
Down → Flat → Short → Complex,"(1, 0, 3, 4)",4,1,0.0,5.69,6.493316107025748e-09
Chevron → Up → Short → Down,"(2, 6, 3, 1)",4,1,0.0,5.69,6.493316107025748e-09
Chevron → Short → Complex → Chevron → Short,"(2, 3, 4, 2, 3)",5,1,0.0,5.69,6.493316107025748e-09
Short → Up → Short → Flat → Chevron,"(3, 6, 3, 0, 2)",5,1,0.0,5.69,6.493316107025748e-09
Short → Flat → Flat → Up → Short,"(3, 0, 0, 6, 3)",5,1,0.0,5.69,6.493316107025748e-09
Complex → Down → Complex,"(4, 1, 4)",3,2,0.1,5.4,3.300196527167287e-08
Chevron → Short → Short → Short → Short,"(2, 3, 3, 3, 3)",5,2,0.1,5.36,4.151184340717151e-08
Short → Short → Short,"(3, 3, 3)",3,22,6.7,5.36,4.2073474371129294e-08
Chevron → Flat → Flat → Complex,"(2, 0, 0, 4)",4,1,0.0,5.25,7.569935545070905e-08
Complex → Up → Flat → Chevron,"(4, 6, 0, 2)",4,1,0.0,5.25,7.569935545070905e-08
Chevron → Complex → Up → Flat,"(2, 4, 6, 0)",4,1,0.0,4.9,4.816785043049165e-07
Flat → Flat,"(0, 0)",2,20,8.4,4.72,1.1964004408282491e-06
Up → Short → Frequency_Jump,"(6, 3, 5)",3,1,0.0,4.61,2.0449744502215594e-06
Down → Flat → Up → Short,"(1, 0, 6, 3)",4,1,0.0,4.61,2.0449744502215594e-06
Flat → Flat → Flat → Complex,"(0, 0, 0, 4)",4,1,0.1,4.36,6.535922683403861e-06
Flat → Down → Short → Up,"(0, 1, 3, 6)",4,1,0.0,4.15,1.6679510905115436e-05
Flat → Flat → Flat,"(0, 0, 0)",3,5,0.9,4.0,3.1141171759174746e-05
Complex → Complex,"(4, 4)",2,8,2.7,3.98,3.4343753406718136e-05
Short → Up → Short → Flat,"(3, 6, 3, 0)",4,2,0.2,3.91,4.680190788097782e-05
Flat → Flat → Up → Flat,"(0, 0, 6, 0)",4,1,0.1,3.79,7.450740666514744e-05
Chevron → Flat → Flat → Up,"(2, 0, 0, 6)",4,1,0.1,3.79,7.450740666514744e-05
Up → Chevron → Flat → Flat,"(6, 2, 0, 0)",4,1,0.1,3.64,0.00013371806012130172
Up → Up → Flat → Flat,"(6, 6, 0, 0)",4,1,0.1,3.52,0.00021381413125354243
Complex → Complex → Down,"(4, 4, 1)",3,1,0.1,3.51,0.00022247059073943198
Short → Flat → Flat → Down,"(3, 0, 0, 1)",4,1,0.1,3.51,0.00022247059073943198
Up → Up → Short → Up,"(6, 6, 3, 6)",4,1,0.1,3.39,0.0003448789251840889
Short → Chevron → Short → Flat → Flat,"(3, 2, 3, 0, 0)",5,1,0.1,3.28,0.0005131443641958056
Down → Short → Up → Short,"(1, 3, 6, 3)",4,1,0.1,3.28,0.0005172700168368793
Up → Short → Up → Chevron,"(6, 3, 6, 2)",4,1,0.1,3.28,0.0005172700168368793
Short → Up → Chevron → Up,"(3, 6, 2, 6)",4,1,0.1,3.18,0.0007315956502171872
Short → Flat → Chevron → Complex,"(3, 0, 2, 4)",4,1,0.1,3.18,0.0007315956502171872
Short → Flat → Down → Short,"(3, 0, 1, 3)",4,1,0.1,3.09,0.0010127315865802178
Up → Flat → Up → Short,"(6, 0, 6, 3)",4,1,0.1,3.09,0.0010127315865802178
Up → Short → Short → Short → Short,"(6, 3, 3, 3, 3)",5,1,0.1,3.0,0.0013498980316301035
Chevron → Short → Short → Short,"(2, 3, 3, 3)",4,3,0.6,2.99,0.0013839056245215087
Short → Short → Short → Short → Complex,"(3, 3, 3, 3, 4)",5,1,0.1,2.93,0.0017155333310610033
Complex → Chevron → Up → Short,"(4, 2, 6, 3)",4,1,0.1,2.92,0.001752649840248699
Up → Up → Short → Flat,"(6, 6, 3, 0)",4,1,0.1,2.78,0.0027178339865463474
Up → Short → Flat → Chevron,"(6, 3, 0, 2)",4,1,0.1,2.78,0.0027549059702145495
Short → Up → Short → Short → Short,"(3, 6, 3, 3, 3)",5,1,0.1,2.78,0.0027549059702145495
